"ID_GROUPES_PATIENT","NOM","DESCRIPTION_FR","DESCRIPTION_EN","REMARQUES_FR","REMARQUES_EN",,,,,
128,"410-1","Patients polliniques avec TC positifs au châtaignier et/ou au bouleau","Patients with pollinosis and ST + to chestnut and/or birch pollen",,,,,,,
129,"413-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
130,"421-1",,,"Utilisation de mAb","Done with an Ab",,,,,
131,"429-1","Patients polliniques (Bétulacées) et allergiques à la noisette","Patients with pollinosis (Betulaceae) and allergic to hazelnut",,,,,,,
132,"429-2","Patients polliniques (Bétulacées) et allergiques à la noisette","Patients with pollinosis (Betulaceae) and allergic to hazelnut",,,,,,,
133,"435-1",,,"Utilisation d'un Ab","Done with an Ab",,,,,
134,"452-1","Un cas d'anaphylaxie au litchi chez une fleuriste allergique aux Composées","A case of anaphylaxis to lichee",,,,,,,
135,"453-1","Sujets TC+ acariens","Subjects ST+ to mites",,,,,,,
136,"458-1","Sujets RAST positifs bouleau et pomme","Subjects RAST+ to birch and apple",,,,,,,
137,"463-1","Polliniques à l'ambroisie avec RAST latex et profiline d'ambroisie positifs","Patients with pollinosis to ragweed with + RAST to latex and ragweed profilin",,,,,,,
138,"471-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
139,"484-1","Polliniques aux graminées et aux herbacées","Patients with pollinosis to grasses and weeds",,,,,,,
140,"488-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
141,"490-1","Sujets TC latex positifs (dont 4 sont allergiques à l'avocat et/ou à la banane)","Subjects ST+ (of which 4 are allergic to avocado and/or banana)",,,,,,,
142,"491-1","Patients allergiques au latex, à l'avocat et à la châtaigne","Patients allergic to latex, avocado and chestnut",,,,,,,
143,"507-1","2 patientes allergiques à l'œuf et aux plumes d'oiseaux","Two patients allergic to egg and to bird feathers",,,,,,,
144,"524-1",,,"Manquent détails (résumé possésé seulement)","Details missing (only the abstract available)",,,,,
145,"527-1",,,"Pas de RC testée par méthode d'inhibition","CR not assayed by an inhibition method",,,,,
146,"539-1","Sujets polliniques (notamment olivier), allergiques à la pistache et TC noix de cajou positif","Subjects with pollinosis (especially to olive), allergic to pistachio and ST+ to cashew",,,,,,,
147,"547-1",,,"Manquent détails (résumé possésé seulement)","Details missing (only the abstract available)",,,,,
148,"560-1","Enfant TC positif pour la noix et la pistache","A child with + ST to walnut and pistachio",,,,,,,
149,"564-1","Patients allergiques à l'olivier","Patients allergic to olive pollen",,,,,,,
150,"567-1","Allergie aux acariens","Allergy to mites",,,,,,,
151,"570-1","Adultes allergiques au latex","Adulta allergic to latex",,,,,,,
152,"571-1","Sujets TC+ pour Periplaneta americana","Subjects ST+ to Periplaneta americana",,,,,,,
153,"572-1","Un patient pollinique avec syndrome oral à lingestion de petit jacque","A pollinosis patient with an oral allergy syndrome upon ingestion of [petit jacque???}",,,,,,,
154,"573-1","patients avec allergie professionnelle au safran","Patients with occupational allergy to saffron",,,,,,,
155,"574-1","Enfants IgE+ pour Anisakis","Children ST+ for Anisakis",,,,,,,
156,"575-1","Patiente allergique à Tradescantia (misère)","A poor patient allergic to Tradescantia",,,,,,,
157,"575-2","Sujet allergique au ficus","Subject allergic to ficus",,,,,,,
158,"576-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
159,"577-1","Patient allergique à la farine de colza","Patient allergic rapeseed flour",,,,,,,
160,"577-2","Patients allergiques à la moutarde","Patients allergic to mustard",,,,,,,
161,"579-1","Fermiers exposés à Lepidoglyphus","Farmers exposed to Lepidglyphus",,,,,,,
162,"579-2","Allergiques aux acariens","Subjects allergic to mites",,,,,,,
163,"581-1","Patients polliniques au chénopode","Patients with pollinsis to chenopodium",,,,,,,
164,"582-1","Professionnels de la fourrure avec TC positif pour diverses fourrures","Workers in the fur industry with + ST to various furs",,,,,,,
165,"583-1","Sujets atopiques réagissant aux graines de ricin","Atopic subjects reacting to ricin seeds",,,,,,,
166,"593-1","16 enfants et 1 adulte allergiques au lait de vache TC+ IgE+","16 children and 1 adult alergic to cow's milk ST+ and IgE +",,,,,,,
167,"594-1","Allergiques au latex et à la banane","Subjects allergic to latex and banana",,,,,,,
168,"598-1","Sujets ""sensibilisés"" aux acariens","Subjects ""sensitized"" to mites",,,,,,,
169,"600-1","Patients avec TC positifs pour divers pollens d'Artemisia","Patients with + ST to various Artemisia pollenss",,,,,,,
170,"603-1",,,"Résultats contradictoires entre figure 1 et table 1","Results in Figure 1 and Table 1 are contradictory",,,,,
171,"604-1","Enfants polliniques aux graminées avec syndrome oral pour la tomate","Children with polliosis to grasses with an oral allergy syndrome to tomato",,,,,,,
172,"605-1","Sujets allergiques au kiwi et au bouleau","Subjects allergic to kiwi and birch",,,,,,,
173,"623-1","Patients allergiques au latex avec pollinose (graminées et/ou bouleau) chez 30-50%","Patients allergic to latex with pollinosis (grasses and/or birch) in 30-50% of the cases",,,,,,,
174,"623-2","Patients positifs in vitro pour le latex, sans manifestations cliniques","Patients with a + in vitro assay for latex, without clinical manifestations",,,,,,,
175,"627-1","Anaphylaxie à la tisane de camomille","Anaphylaxis to camomille tea",,,,,,,
176,"630-1","Sujets avec rhinite/asthme et TC+ chironomes","Subjects with rhinitis/asthma and + ST for chironomidae",,,,,,,
177,"633-1",,,"Manquent détails (résumé possésé seulement)","Details missing (only the abstract available)",,,,,
178,"635-1","Sérum commercial (Kallestad) positif pour les pollens de graminées","Commercial serum (Kallestad) + for grass pollens",,,,,,,
179,"636-1","Patients allergiques aux graminées et/ou à la farine de blé","Patients allergic to grasses and/or to wheat flour",,,,,,,
180,"637-1","Allergiques aux Vespides avec RAST positif pour Vespula et Polistes","Patients allergic to vespidae with + RAST for Vespula and Polistes",,,,,,,
181,"638-1","Sujets IgE+ à D. pteronyssinus et à 1 des autres acariens, au moins","Subjects IgE+ for D. pteronyssinus and to at least 1 other mite",,,,,,,
182,"639-1","Pollinose aux pollens d'arbres","Pollinosis to tree pollen",,,,,,,
183,"641-1","Sujets ""sensibilisés"" à l'olivier (mais hors contact avec l'olivier)","Subjects ""sensitized"" to olive pollen (but without contact with olive trees)",,,,,,,
184,"642-1","Polliniques avec TC positif pour l'ambroisie","Pollinosis patients with + ST to ragweed",,,,,,,
185,"647-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
186,"649-1","Sujets TC positifs pour Malassezia","Subjects ST+ to Malassezia",,,,,,,
187,"651-1","Patients allergiques à la laitue","Patients allergic to lettuce",,,,,,,
188,"652-1","Patients allergiques à la viande de porc et au chat","Patients allergic to pig's meat and to cats",,,,,,,
189,"653-1","Enfants asthmatiques avec IgE+ pour D. farinae et l'agglutinine de Limulus","Asthmatic children with + IgE to D. farinae and Limulus agglutinin",,,,,,,
190,"654-1",,,"Utilisation de mAb","Done with an mAb",,,,,
191,"659-1","Une femme de 77 ans avec réaction anaphylactique à la figue (non allergique au latex)","A 77 year old woman who had an anaphylactic reaction to fig (not allergic to latex)",,,,,,,
192,"660-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
193,"662-1","Enfants TC positifs pour la pistache et la noix de cajou",,,,,,,,
194,"665-1","Allergiques aux phanères avec RAST positifs aux albumines","Children ST+ to pisctachio and cashew nuts",,,,,,,
195,"667-1",,"Patients allergic to danders with + RAST to albumins","Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
196,"668-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
197,"669-1","Patients atopiques et CAP positifs pour Candida albicans","Atopic patients and CAP+ to Candida albicans",,,,,,,
198,"672-1",,,"Données inexploitables","Data unexploitable ",,,,,
199,"674-1","Réactions respiratoires au contact des asperges","Respiratory reactions on contact with asparagus",,,,,,,
200,"679-1","Ouvriers de serres avec allergie respiratoire","Greenhouse workers with respiratory allergy",,,,,,,
201,"687-1","Patients allergiques au chat","Patients allergic to cat",,,,,,,
202,"687-2","Patients allergiques au chat","Patients allergic to cat",,,,,,,
203,"688-1","Patients allergiques au kiwi et au bouleau","Patients allergic to kiwi and birch",,,,,,,
204,"691-1","Professionnels de santé allergiques au latex","Health care workers allergic to latex",,,,,,,
205,"692-1","Sujet allergique à Cladosporium et Alternaria","A subject allergic to Cladosporium and Alternaria",,,,,,,
206,"693-1","Polliniques (plantain et dactyle) et allergiques au melon (syndrome oral)","Patients with pollinosis plantago and Bermuda grass) and allergic to melon (oral allergy syndrome)",,,,,,,
207,"694-1","Polliniques au bouleau présentant une bande 35kD positive (Bet v 6)","Patients with pollinosis who have a positive 35 kDa band Bet v6) ",,,,,,,
208,"697-1","Sujets professionellement exposés aux acariens phytophages","Sunjects occupationally exposed to phytophagic mites",,,,,,,
209,"697-2","Sujets fortement positifs in vitro pour D. pteronyssinus et non exposés aux acriens phytophages","Subjects strongly positive in vitro for D. pteronyssinus but who are not exposed to phytophagic mites ",,,,,,,
210,"699-1",,,"Manquent détails (résumé possésé seulement)","Details missing (only the abstract available)",,,,,
211,"707-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
212,"709-1","Polliniques aux graminées avec TC négatif mais RAST positif arachide","Subjects with pollinosis to grasses with − ST but +RAST for peanut",,,,,,,
213,"719-1","Sujets allergiques au latex et au sarrasin","Subjects allergic to latex and buckwheat",,,,,,,
214,"727-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
215,"728-1","Sujets allergiques aux ormeaux et RAST+ escargot","Subjects allergic to ulm pollen and RAST+ to snail",,,,,,,
216,"744-1","Patients allergiques à la pastèque et à l'ambroisie","Patients allergic to watermelon and ragweed",,,,,,,
217,"744-2","Patients allergiques à la pastèque et à l'ambroisie","Patients allergic to watermelon and ragweed",,,,,,,
218,"745-1","Un adulte montrant des réactions anaphylactiques (banane, puis avocat, puis latex)","An adult having had anaphylactic reactions (banana, then avocado, then latex)",,,,,,,
219,"746-1","1 patiente ayant fait une réaction clinique au lait de jument avec TC+ et IgE+ aux pollens graminées, poils animaux et acariens","One patient who had had a clinical reaction to mare's milk with + ST and + IgE to grass pollen, animal hair and mites",,,,,,,
220,"748-1","Sujets avec allergie au pollen de papayer","Subjects with allergy to papaya pollen",,,,,,,
221,"749-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
222,"750-1","Allergiques aux acariens","Subjects allergic to mites",,,,,,,
223,"752-1","Patients allergiques au bouleau et au kiwi","Patients allergic to birch and kiwi",,,,,,,
224,"752-2","Patients allergiques au bouleau et au kiwi","Patients allergic to birch and kiwi",,,,,,,
225,"754-1","Patients polliniques avec allergie au poivron (et au parika)","Patients with pollinosis with allergy to sweet pepper (and to paprika)",,,,,,,
226,"756-1","Patient allergique aux Cupressacées","A patient allergic tp Cupressaceae",,,,,,,
227,"759-1",,,"Manquent détails (résumé possésé seulement)","Details missing (only the abstract available)",,,,,
228,"761-1","Allergiques aux acariens et sensibilisés à Tyrophagus","Patients allergic to mites and sensitized to Tyrophagus",,,,,,,
229,"762-1","Banque sérums: sujets positifs pour la crevette","Serum banks: subjects positive for shrimp",,,,,,,
230,"765-1","Asthmatiques TC positifs pour Candida albicans et RAST+ pour les mannanes","Asthmatics ST+ for Candida albicans and RAST+ for mannans",,,,,,,
231,"767-1","Patients allergiques au latex et à l'avocat et/ou banane et/ou kiwi","Patients allergic to latex and avocado and/or banana and/or kiwi",,,,,,,
232,"767-2","Patients allergiques au latex et à l'avocat et/ou banane et/ou kiwi","Patients allergic to latex and avocado and/or banana and/or kiwi",,,,,,,
233,"770-1","Sujets avec suspicion d'allergie aux larves d'anisakis","Subjects with suspicion of allergy to anisakis larvae",,,,,,,
234,"775-1","Syndrome armoise-bouleau-céleri-épices","The mugwort-birch-celery-spices syndrome",,,,,,,
235,"777-1","Allergiques au pollen d'olivier","Patients allergic to olive pollen",,,,,,,
236,"777-2","Patients allergiques au pollen de ricin","Patients allergic to ricin pollen",,,,,,,
237,"777-3","Patients allergiques au latex","Patients allergic to latex",,,,,,,
238,"778-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
239,"785-1","Patients polliniques à l'armoise","Patients with pollinosis to mugwort",,,,,,,
240,"788-1","Sujets RAST positifs pour Cabdida albicans","Subjects RAST+ for Candida albicans",,,,,,,
241,"789-1",,,"Données inexploitables","Data unexploitable ",,,,,
242,"790-1","Pollinique au bouleau avec allergie aux épices","A patients with pollinosis to birch and allergic to spices",,,,,,,
