"groupe de patient","recrutement","pays","nombre de sujets","sérums testés séparément","inhibitions chiffrées","date","pas de RC testée etc","remarques"
"1038-1","1 enfant allergique aux laits de vache et de chèvre TC+ TPO+ IgE+","Italie","1",-1,-1,17-juil.-07,,
"10389-1","Patients allergiques à Cladosporium herbarum","Autriche / Italie","5",-1,0,01-déc.-09,,
"10399-1",,,,-1,-1,20-juin-09,-1,"ni blot ni inhibitions : parler d' ""allergie croisée"" est bien exagéré"
"1040-1","Patient pollinique (graminées et pariétaire)","Italie","1",-1,-1,04-mars-09,,
"1042-1",,,,-1,-1,13-nov.-09,-1,"Utilisation d'un Ab"
"10421-1","Patients polliniques au bouleau et allergiques au kiwi (TPODA)","Autriche","5",0,0,03-oct.-09,,
"10429-1","Patients avec réaction systémique à Polistes","Italie","6",-1,-1,23-févr.-09,,
"1044-1","Allergie à la bière","Espagne","1",-1,0,07-janv.-08,,
"10441-1",,,,-1,-1,18-juin-09,-1,
"10444-1",,,,-1,-1,18-juin-09,-1,
"10453-1",,,,-1,-1,18-juin-09,-1,"manque de précisions : inhib de tomate ou peau ?"
"10455-1",,,,-1,-1,18-juin-09,-1,"manque de précisions : inhib de tomate ou peau ?"
"1047-1","Enfants avec allergie au lait de vache","Allemagne","17",0,-1,17-juil.-07,,
"10470-1","Anaphylaxie après ingestion de myrtilles","Allemagne","1",-1,0,18-juin-09,,
"10476-1",,,,-1,-1,12-oct.-09,-1,"RC notée chez 1 patient mais sens = ??"
"1048-1","Patient allergique à l'ail","USA","1",-1,-1,03-août-07,,
"10488-1","Patients allergiques à la noix de cajou","Japon","2",-1,-1,12-oct.-09,,
"1054-1",,,,-1,-1,18-nov.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"10546-1",,,,-1,-1,13-nov.-09,-1,"Manquent précisions pour saisie RC"
"1055-1","Patients allergiques au céleri et/ou polliniques au bouleau","Autriche","?",0,0,02-nov.-09,,
"1057-1","Polliniques au bouleau avec syndrome oral pomme et/ou kiwi","Allemagne","14",0,-1,26-juil.-07,,
"1057-2","Polliniques au bouleau avec syndrome oral pomme et/ou kiwi","Allemagne","14",0,0,26-juil.-07,,
"10580-1","Enfants avec ATCD d'anaphylaxie au lait de vache (et non exposés au chien ni au chat)","France","3",-1,-1,17-juin-09,,
"10580-2","Enfants avec ATCD d'anaphylaxie au lait de vache (non exposés au chien, exposés au chat)","France","3",-1,-1,17-juin-09,,
"10593-1","Adultes allergiques aux Rosacées et ayant présenté une anaphylaxie à la laitue","Espagne","2",-1,0,17-juin-09,,
"10605-1",,,,-1,-1,17-juin-09,-1,"RC limités selon les auteurs entre Tyr p 3 et Der p 3 ou Blomia : mais data not shown"
"10606-1","Patients allergiques au ver à soie","Chine","3",0,-1,17-juin-09,,
"10644-1","Fillette 10 ans avec allergie au porc (non cuit) après introduction d'un hamster au domicile","Espagne","1",-1,0,17-juin-09,,
"1065-1","Enfants allergiques à la cerise","Allemagne","3-4",0,-1,04-août-07,,
"10653-1",,,,-1,-1,21-sept.-09,-1,"manquent détails (résumé)"
"10656-1","Un enfant avec anaphylaxie après ingestion d'une graine de citrouille (ATCD idem avec noix du Brésil)","Espagne","1",-1,0,02-nov.-09,,
"10657-1","Patients polliniques au bouleau","Serbie","8 ?",0,0,17-juin-09,,
"10658-1","Patients allergiques aux acariens et TC+ D. ptero et Lepidoglyphus","Espagne","19",0,-1,17-juin-09,,
"1066-1",,,,-1,-1,27-févr.-09,-1,"Pas de Rc testée"
"10660-1","Allergie respiratoire à des animaux domestiques aggravée après introduction de furets au domicile","Espagne","1",-1,-1,17-juin-09,,
"1068-1","Histoire positive avec TC et/ou RAST positif pour soja, arachide, riz ou maïs","USA","2",-1,-1,28-sept.-09,,
"10681-1","Adultes avec syndrome oral (n=4) ou asthme à la cuisson (n=1) avec les haricots verts","Espagne","5",0,0,17-juin-09,,
"10686-1","Enfant de 14 ans avec anaphylaxie alimentaire (blé, pomme, laitue) et forte réactivité LTP de pêche","Espagne","1",-1,-1,17-juin-09,,
"10687-1","Patiente allergique au latex avec anaphylaxie au concombre (et ATCD réaction avec papaye)","Espagne","1",-1,0,17-juin-09,,
"1069-1","Pollinose à Putranjiva","Inde","?",0,0,04-oct.-07,,
"10694-1","Test cutané positif pour S. kali et/ou S. oppositifolia et/ou Chenopodium album","Espagne","?",0,0,18-juin-09,,
"107-1","Sujets IgE+ pour Lepidoglyphus et D. pteronyssinus","Suède","20",0,0,17-juil.-07,,
"1070-1","Sujets avec asthme/rhinite et CAP+ pour la blatte américaine","France","?",0,0,17-juil.-07,,
"1070-2","Sujets avec allergie aux fruits de mer et CAP+ crevette","France","?",0,0,17-juil.-07,,
"10713-1","Patients polliniques au frêne et ""sensibilisés"" à la tomate","France","3",-1,-1,03-sept.-09,,
"10719-1","Enfant avec réaction urticarienne après ingestion de noix de coco (idem avec lentilles)","Espagne","1",-1,0,17-juin-09,,
"1072-1","Patients polliniques à la pariétaire","Italie","30",0,0,02-sept.-09,,
"10720-1",,,,-1,-1,13-nov.-09,-1,"Manquent précisions pour saisie RC"
"1073-1","Sujets allergiques au latex et/ou à l'avocat","Autriche","19",0,0,26-juil.-07,,
"10732-1","Sujets exposés à des animaux de laboratoire et RAST+ pour rat et souris","Grande Bretagne","5",-1,-1,18-juin-09,,
"10755-1","Anaphylaxie alimentaire à la coriandre dans un contexte d'allergie professionnelle aux épices","Belgique","1",-1,-1,20-juin-09,,
"1079-1","Adultes asthmatiques","Taiwan","4",0,0,19-nov.-09,,
"10803-1",,,,-1,-1,12-août-09,-1,"Technique d'inhibition bizarre. Critères de sélection des patients disparates"
"10810-1","Allergie professionnelle à la poudre de racine de chicorée","Belgique","1",-1,0,23-nov.-09,,
"10811-1","Patients allergiques au lupin et à l'arachide","Norvège","6",-1,-1,24-nov.-09,,
"10822-1","Patients polliniques au pin","Espagne","9",0,-1,16-août-09,,
"10822-2","Patients polliniques au pin et ""sensibilisés"" aux graminées","Espagne","8",0,-1,16-août-09,,
"10834-1","Patient avec anaphylaxie au miel de tournesol (et ATCD syndrome oral céleri)","France","1",-1,-1,27-août-09,,
"1086-1",,,,-1,-1,25-nov.-09,-1,"Pas de RC testée"
"1088-1",,,,-1,-1,28-janv.-09,-1,"utilisation d'un mAb"
"1090-1","patient allergique au moustique","France","1",-1,-1,01-mars-09,,
"1090-2","Patient allergique à la guêpe","France","1",-1,-1,01-mars-09,,
"1091-1","Patients présentant un RAST Aspergillus fortement positif","Taiwan","4?",0,0,13-nov.-09,,
"1093-1","Patients allergiques au latex et à la banane","Espagne","8",0,0,26-juil.-07,,
"1094-1","Sujets allergiques au latex et à l'avocat","Allemagne","7",-1,0,26-juil.-07,,
"1095-1","Patient asthmatique","Taiwan","1",-1,0,29-oct.-07,,
"10986-1","Patients avec réaction systémique après piqûre par une guêpe Vespula","USA","23",-1,-1,18-nov.-09,,
"11003-1","Patients ayant présenté une réaction systémique après piqûre de guêpe ou de frelon","USA","6",0,-1,30-nov.-09,,
"1101-1",,,,-1,-1,17-juil.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"1103-1","RAST+ Blomia et Dermatophagoides","Singapour","20",0,-1,17-juil.-07,,
"111-1",,,,-1,-1,17-juil.-07,-1,"Manquent détails dans l'article"
"1120-1","Un cas d'anaphylaxie au miel","Italie","1",-1,0,07-janv.-08,,
"1122-1","Sujets allergiques à l'olivier et aux graminées","Autriche","2",-1,0,04-oct.-07,,
"1123-1",,,,-1,-1,13-nov.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"1134-1","Patients avec eczéma atopique","Finlande","6",0,-1,07-janv.-08,,
"1137-1","Allergique aux pignons de pin","Espagne","1",-1,0,30-oct.-07,,
"1142-1","Anaphylaxie après piqûre de fourmi Pachycondyla","Corée","1",-1,-1,08-janv.-08,,
"1143-1","Allergiques à l'arachide TPO positifs pour le lupin","France","4",-1,0,30-oct.-07,,
"1144-1","Anaphylaxie à la noix de macadamia","Australie","1",-1,0,01-janv.-08,,
"1145-1",,,,-1,-1,13-nov.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"1148-1","Enfants ayant eu une réaction anaphylactique après injection d'un vaccin","Japon","3",-1,-1,08-janv.-08,,
"1149-1","Sujets allergiques au latex et à l'avocat et/ou la banane et/ou la châtaigne","Espagne","8",0,0,26-juil.-07,,
"1150-1","Sujets allergiques à la pêche (enfants et adultes)","Espagne","?",0,-1,03-août-07,,
"1156-1","Allergique aux graines de pavot","Autriche","1",-1,0,30-oct.-07,,
"1157-1","Patients allergiques au pollen de houblon","Corée","10",0,0,04-oct.-07,,
"1158-1","Sujets polliniques aux Cupressacées","Italie","3",0,-1,13-nov.-07,,
"1159-1","1 enfant de 2 ans allergique au lait de chèvre","Espagne","1",-1,-1,17-juil.-07,,
"116-1","Fermiers allergiques à Panonychus ulmi","Allemagne","6",0,-1,17-juil.-07,,
"1162-1",,,,-1,-1,17-juil.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"1164-1","Enfants avec dermatite atopique et RAST latex positif","Allemagne","9",-1,-1,26-juil.-07,,
"1176-1","Sujet avec allergie respiratoire persistante et TC positif pour une ou des moisissures","USA","1",-1,-1,08-janv.-08,,
"1176-2","Sujets avec allergie respiratoire persistante et TC positif pour une ou des moisissures","USA","?",0,-1,08-janv.-08,,
"1177-1","Sujets présentant des RAST élevés pour différents Basidiospores","USA","5",0,-1,19-janv.-08,,
"1183-1","Polliniques aux graminées avec positivité pour rPhl p 1 (mais pas pour rPhl p 5)","Autriche","5",-1,0,30-août-07,,
"1190-1","Patient pollinique au bouleau","Autriche","1",-1,0,13-nov.-09,,
"1191-1","Patients polliniques au chiendent digité","Australie","?",-1,0,30-août-07,,
"1193-1",,,,-1,-1,13-nov.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"12-1","Fermiers avec athme et/ou rhinite","Suède","4",0,-1,06-mars-09,,
"120-1","Sujets polliniques au bouleau avec un RAST+ céleri","France","3",-1,0,04-août-07,,
"121-1","1 sujet allergique aux pollens et aliments (non précisé lesquels)","Pays-Bas","1",-1,-1,01-déc.-09,,
"1212-1","Patients polliniques bouleau et/ou graminées et/ou armoise","Autriche / France","21 (positivités variables)",-1,0,01-déc.-09,,"Des tests quantitatifs effectués, mais résultats présentés sous fome de moyennes/min/max"
"1221-1",,,,-1,-1,13-nov.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"1222-1","Polliniques à Juniperus ashei","USA","?",0,0,04-oct.-07,,
"1226-1","Sujets allergiques à la noix","USA","15",-1,0,30-oct.-07,,
"1227-1","Sujets allergiques au latex et RAST positifs pomme de terre (9/15 sont allergiques à la pomme de terre)","Autriche","9+6",0,0,26-juil.-07,,
"1227-2","Sujets allergiques au latex et à la banane et/ou à l'avocat","Autriche","10",0,0,26-juil.-07,,
"1228-1","Sujets polliniques au bouleau et CAP positifs pour le soja","Allemagne","2",-1,-1,12-janv.-08,,
"123-1",,,,-1,-1,25-nov.-09,-1,"Données inexploitables : pas d’espèce précisée pour aucun des produits testés !"
"1230-1","Sujets allergiques aux acariens et TC+ Tyrophagus","Corée","6",-1,-1,17-juil.-07,,
"1231-1",,,,-1,-1,13-nov.-09,-1,"Utilisation d'un Ab"
"1235-1",,,,-1,-1,30-juin-09,-1,"Utilisation d'un Ab animal"
"1237-1",,,,-1,-1,18-nov.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"1238-1","Sujets spina bifida avec rHev b 3 positif","Autriche","8",-1,0,17-juil.-07,,
"124-1","Sujets avec eczéma atopique et RAST positifs pour diverses céréales","Japon","5",-1,-1,12-août-07,,
"1241-1","Polliniques au bouleau et sensibilisés au céleri (certains avec syndrome oral)","Allemagne","7",-1,-1,03-août-07,,
"1246-1","Donneurs de sang positifs in vitro pour le latex et la fléole","Grande Bretagne","?",-1,0,01-déc.-09,,
"1247-1","Patient allergique à différentes Fabacées","Espagne","1",-1,-1,12-janv.-08,,
"1254-1","Patients avec pollinose et TC positif pour le pollen de ricin","Espagne","?",0,-1,20-oct.-07,,
"1256-1","Polliniques avec réactions alimentaires (fruits, légumes, fruits à coque) et RAST latex positif","Espagne","4",-1,-1,26-juil.-07,,
"1256-2","Sujets polliniques (graminées, olivier) sans exposition au pollen de bouleau mais CAP positifs bouleau","Espagne","7",0,-1,26-juil.-07,,
"126-1",,,,-1,-1,13-nov.-09,-1,"RC testée au niveau T"
"1267-1","Adultes allergiques au latex et TC positifs pour la pomme de terre","Finlande","10",0,-1,26-juil.-07,,
"1267-2","Enfants allergiques au latex et RAST positifs pour Sola t 1","Finlande","10",0,-1,26-juil.-07,,
"1269-1","Patient allergique à la pistache","France","1",-1,-1,04-oct.-07,,
"1273-1","Patients polliniques aux graminées","Pays-Bas","19",-1,-1,13-nov.-09,,
"1276-1",,,,-1,-1,03-août-07,-1,"Manquent détails"
"1278-1","Sujets positifs in vitro pour le latex d'Hévéa et la sève de jetulong","Suède","3?",-1,-1,12-janv.-08,,
"128-1","sujets caucasiens et asiatiques avec pollinose aux graminées","Afrique du Sud","2",-1,0,17-juil.-07,,
"1292-1","patients allergiques à la viande de bœuf (pas exclusivement) avec TC ou IgE +","USA","5",0,0,01-déc.-09,,
"1297-1","Sujets positifs pour les pollens de graminées et de colza","Grande Bretagne","2",-1,-1,04-oct.-07,,
"1300-1",,,,-1,-1,13-nov.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"1307-1","Sujets RAST positifs pour les albumines de mammifères et allergiques aux ""animaux""","Autriche","10",-1,-1,21-oct.-07,,
"131-1",,,,-1,-1,13-nov.-09,-1,"Utilisation d'un mAb"
"1310-1","Patients allergiques à l'abricot","Italie","10",0,0,03-août-07,,
"132-1",,,,-1,-1,28-sept.-09,-1,"Utilisation d'un Ab"
"1322-1","Polliniques bouleau allergiques à la pomme","Finlande","20",0,-1,03-août-07,,
"1323-1","Patient pollinique au bouleau et aux graminées avec syndrome oral (pomme, carotte)","Pays-Bas","1",-1,-1,01-déc.-09,,
"1323-2","Patient allergique à l'abeille et positif in vitro pour des pollens et aliments végétaux","Pays-Bas","1",-1,-1,01-déc.-09,,
"1329-1","Sujets allergiques au contact des asperges","Espagne","2",-1,-1,03-août-07,,
"1331-1",,,,-1,-1,13-nov.-09,-1,"Pas de RC testée"
"1333-1","Patients allergiques au Penicillium","Taiwan","3?",0,0,13-nov.-09,,
"1338-1","Patients allergiques au céleri","Suisse","2",0,-1,03-août-07,,
"1342-1","Patients avec allergie au lait de vache","France","?",-1,-1,17-juil.-07,,
"1344-1",,,,-1,-1,03-août-07,-1,"Manquent détails dans l'article"
"1351-1","Patients allergiques au latex et présentant un syndrome latex-fruits","Espagne (Canaries)","8",0,-1,24-mars-08,,
"1355-1","Patients avec syndrome oral et TC natif positif pour des fruits des rosacées, et TC positifs pour les LTP","Italie","5",-1,-1,26-sept.-09,,
"1355-2","Un patient exclusivement sensibilisé aux LTP","Pays-Bas","1",-1,-1,01-déc.-09,,
"1355-3","Patients avec syndrome oral et TC natif positif pour des fruits des rosacées, et TC positifs pour les LTP","Italie","1",-1,-1,26-juil.-07,,
"1358-1","Pollinose au châtaignier","Autriche","3",-1,0,04-oct.-07,,
"1359-1","Anaphylaxie au pignon de pin","Italie","1",-1,0,02-janv.-08,,
"1363-1",,,,-1,-1,13-nov.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"1364-1","Allergie aux poissons et IgE+ aux poissons testés","Autriche","11",-1,-1,17-juil.-07,,
"1366-1","Patient asthmatique","Taiwan","7",0,0,29-oct.-07,,
"1400-1","Sujets TC positifs pour le pollen de Cenchrus ciliaris","Inde","22 ?",0,-1,30-août-07,,
"1401-1","Une patiente non pollinique allergique à différents fruits (positivité pour une bande unique 30kD)","Afrique du Sud","1",-1,0,26-juil.-07,,
"1404-1",,,,-1,-1,17-juil.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"1409-1","Allergiques au pollen de ginkgo","Corée","21",0,-1,04-oct.-07,,
"1413-1",,,,-1,-1,31-août-07,-1,"Pas de RC testée ou méthodologie non conforme"
"142-1","Patients avec dermatite atopique et positifs in vitro pour Candida et Malassezia","Pays-Bas","3",-1,-1,01-déc.-09,,
"1422-1","Patients exposés professionnellement","Pays-Bas","6",-1,0,04-oct.-07,,
"1423-1","Sujets TC positifs pour Imperata cylindrica","Inde","15 ?",0,-1,30-août-07,,
"1424-1","Allergiques au pollen d'olivier et aux graminées","Espagne","10",0,0,04-oct.-07,,
"1431-1","Patients polliniques à l'armoise et allergiques aux rosacées","Espagne","6",0,-1,26-juil.-07,,
"1434-1",,,,-1,-1,12-janv.-08,-1,"Pas de RC testée ou méthodologie non conforme"
"1436-1","Patients allergiques au poisson","Japon","4",-1,-1,02-févr.-09,,
"144-1",,,,-1,-1,27-févr.-09,-1,"pas d'indications précises dans le résumé"
"1444-1","Patients allergiques aux graines de citrouille","Autriche","3",-1,0,30-oct.-07,,
"1447-1","Patients allergiques au latex","Finlande","12",0,0,12-janv.-08,,
"145-1","Polliniques TC positifs pour différentes Composées","Espagne","8",0,-1,24-oct.-07,,
"1450-1","Allergie avec la tisane de camomille (patients polliniques)","Autriche","4",0,0,12-août-07,,
"1452-1","Patients présentant une allergie alimentaire au maïs","Italie","22",0,0,15-juin-08,,
"1457-1",,,,-1,-1,04-oct.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"146-1","Suspicion d'allergie aux Vespides (avec RAST Vespula > Polistes)","USA","305",-1,-1,18-nov.-09,,
"1462-1",,,,-1,-1,13-nov.-09,-1,"Pas de RC testée"
"1468-1","Patients allergiques au chien et au chat","Finlande","10",0,-1,13-nov.-09,,
"1473-1",,,,-1,-1,03-août-07,-1,"Manquent détails dans l'article"
"1482-1",,,,-1,-1,27-févr.-09,-1,"Pas de Rc testée"
"1485-1","Patients avec un test cutané positif pour le chiendent digité","USA","15",0,-1,01-déc.-09,,
"1487-1","Sujets avec allergie respiratoire et TC positif chat, négatifs en albumines","Espagne","7",-1,-1,21-oct.-07,,
"1487-2","Sujets avec allergie respiratoire et TC positif chat, positifs en albumines","Espagne","7",-1,-1,21-oct.-07,,
"1492-1",,,,-1,-1,04-oct.-07,-1,"Données inexploitables"
"1499-1","Sujets polliniques présentant une réactivité pour les pollens de dactyle et d'olivier","Japon","5",-1,-1,30-août-07,,
"15-1",,,,-1,-1,25-nov.-09,-1,"Pas de RC testée"
"150-1","6 patients allergiques au lait de vache","Autriche","4",0,0,17-juil.-07,,
"1505-1","Sujets allergiques à l'arachide","Australie","5",0,-1,30-oct.-07,,
"1509-1","Allergie respiratoire avec exposition au chat et/ou au chien","Suisse","?",0,-1,21-oct.-07,,
"1513-1","Sujets avec double positivité abeille-guêpe en CAP","Suisse","20",-1,-1,17-juil.-07,,
"1523-1","Anaphylaxie à l'escargot chez une enfant sous IT acariens","Italie","1",-1,-1,28-janv.-09,,"l'article ne précise pas l'espèce de ""prawn"" qui est présentée non croisante avec acariens"
"153-1","6 sujets dont 4 sont céleri + (dont 3 carotte +) et 4 sont cucurbitacés + (3 pastèques, 2 concombres) avec TC ou IgE+","USA","6",0,0,17-juil.-07,,
"1532-1","Adultes allergiques à la courgette","Allemagne","4",-1,0,03-août-07,,
"1536-1",,,,-1,-1,20-juin-09,-1,
"1537-1","Patient mono-pollinique (armoise) et présentant des réactions à la pistache","Espagne","1",-1,-1,12-août-07,,
"154-1","Patients polliniques pour Boehmeria nivea","Japon","10",0,-1,04-oct.-07,,
"1544-1","Patient allergique à Cladosporium et Alternaria","Autriche","1",-1,0,29-oct.-07,,
"1556-1","Sujets allergiques au latex et CAP positifs Ficus","Allemagne","11",-1,-1,26-juil.-07,,
"158-1","Pollinique avec allergie à la carotte et diverses Apiacées","USA","1",-1,-1,19-nov.-09,,
"1583-1","Sujets positifs in vitro pour l'abeille et pour PLA2 (nApi m 1)","Autriche","20",-1,-1,30-oct.-09,,
"159-1","7 sujets allergiques àla noisette, 5 à la graine de pavot, 1 au sésame, 2 au kiwi","Allemagne","8",-1,0,17-juil.-07,,
"1592-1",,,,-1,-1,28-janv.-09,-1,"aucune indication d'espèces et RC+ en blot mais pas en ELISA"
"1602-1","Allergie de contact puis alimentaire avec la carotte","Espagne","1",-1,0,03-août-07,,
"1626-1",,,,-1,-1,03-août-07,-1,"Manquent détails dans l'article"
"1627-1","Patients sensibilisés au latex d'Hevea","Suède","?",-1,-1,03-août-07,,
"1632-1","Sujets allergiques à l'œuf de poule","France","12",0,-1,17-juil.-07,,
"165-1",,,,-1,-1,27-févr.-09,-1,"RC testées chez la souris"
"1656-1","Enfants positifs in vitro pour arachide, soja, lentille et pois chiche","Espagne","28",0,-1,30-oct.-07,,
"1658-1","Enfants allergiques à l'arachide (n'ayant jamais eu de contact avec les noix et les amandes)","Usa","5",-1,-1,30-oct.-07,,
"1658-2","Sujets allergiques à l'arachide et aux fruits à coque","Usa","5",-1,-1,30-oct.-07,,
"166-1","Patients allergiques aux acariens","Colombie","13",0,-1,17-juil.-07,,
"1661-1","1 patient allergique aux viandes de bœuf, agneau et porc avec TC+","Espagne","1",-1,0,17-juil.-07,,
"1662-1","Patients allergiques aux noix","USA","?",0,0,30-oct.-07,,
"1663-1",,,,-1,-1,30-juin-09,-1,
"1664-1","Patients ayant présenté une anaphylaxie au blé induite par l'effort","Finlande","6",0,-1,13-juin-08,,
"1667-1","Patients allergiques au bouleau","Autriche","?",0,0,04-oct.-07,,
"1668-1",,,,-1,-1,03-août-07,-1,"Manquent détails dans l'article"
"167-1","Sujets non exposés à l'ambroisie et TC positifs pour Parthenium","Inde","?",0,-1,04-oct.-07,,
"1675-1","Sujets positifs pour l'aulne et le genévrier","Autriche / Italie","?",0,-1,01-déc.-09,,
"17-1",,,,-1,-1,29-oct.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"1700-1","Sujets positifs pour le plantain","Espagne","?",0,-1,04-oct.-07,,
"1701-1",,,,-1,-1,30-août-07,-1,"Manquent détails dans l'article"
"1703-1","Patients polliniques aux graminées","USA","?",0,-1,30-août-07,,
"1707-1","Patient allergique au manioc, non atopique","Colombie","1",-1,-1,01-août-07,,
"171-1",,,,-1,-1,29-oct.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"1713-1",,,,-1,-1,15-juin-08,-1,"Données inexploitables"
"1714-1","Allergiques au sarrasin","Corée","5",0,-1,22-août-07,,
"1719-1","Enfant allergique au moustique","Espagne","1",-1,0,13-nov.-09,,
"172-1",,,,-1,0,17-juil.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"1727-1","Polliniques olivier","Espagne","2",-1,-1,04-oct.-07,,
"1728-1","Patient asthmatique","Taiwan","1",-1,0,29-oct.-07,,
"1731-1","Sujets avec syndrome armoise-céleri et RAST positif mangue","Allemagne","9",0,0,29-juil.-07,,
"1736-1","Sujets positifs in vitro pour les acariens testés","Suède","10",0,-1,17-juil.-07,,
"1736-2","Sujets positifs in vitro pour les acariens testés","Suède","10",-1,-1,17-juil.-07,,
"174-1","sujets positifs pour la profiline de bouleau Bet v2","Autriche / France","5",0,0,01-déc.-09,,
"1740-1","Allergique aux haricots verts","Italie","1",-1,-1,31-oct.-07,,
"1743-1",,,,-1,-1,28-sept.-09,-1,"Pas de RC testée"
"1798-1",,,,-1,-1,20-oct.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"18-1",,,,-1,-1,27-févr.-09,-1,"il a été utilisé une fraction ""GCR3"" de blatte"
"1804-1","Allergie à différentes Lactucées","Belgique","1",-1,0,03-août-07,,
"1805-1","Patient allergique au miel","Suisse","1",-1,-1,16-août-09,,
"1805-2","Patient allergique au miel et à l'abeille","Suisse","1",-1,-1,16-août-09,,
"1807-1","Sujets avec syndrome armoise-épices","Allemagne","?",0,-1,12-janv.-08,,
"181-1","34 sujets allergiques au cyprès blanc avec TC+","Australie","34",-1,-1,17-juil.-07,,
