"id_notes_biblio","id_biblio","date_notes_biblio","id_redacteur","notes_biblio"
11,7029,2005-06-08,"HM","--- Différents travaux anciens ont donné crédit à la notion de ""blocage"" de la dégranulation par saturation des récepteurs à IgE chez les sujets avec des taux très élevés d’IgE (polyclonaux chez des sujets parasités, monoclonaux en cas de myélome IgE).
-"
12,7036,2005-06-08,"HM","--- On trouve des hémocyanines (protéines avec Cu, transportant O2) parmi les arthropodes et les mollusques.
Chez les arthropodes, ce sont des hexamères (ou plus) d’unités de 75 kD. Ces protéines ont une faible identité séquentielle entre groupes (crusta"
13,7038,2005-06-08,"HM","--- Un cas d’allergie au couteau (Ensis macha, razor clam, Jacknife) chez une femme de 55 ans (Espagne) avec TC négatifs pour acariens, blattes, crustacés, autres mollusques. Idem in vitro. En blot Ensis macha donne plusieurs bandes dont 28, 31 et 40 kD."
14,7039,2005-06-08,"HM","--- [Il s’agit de la même cohorte que pour [6810]].
Les auteurs ont tenté d’améliorer la prédiction des IgE en rapportant les kU au résultat des IgE totales. Ils en concluent que cela n’apporte rien (les aires sous la courbe ROC sont égales, voire un peu"
15,7046,2005-07-08,"HM","[voir 7046.ppt en FT]"
16,7047,2005-07-08,"HM","[publié -> 7361]"
17,7048,2005-07-08,"HM","Caractérisation d’une thaumatine-like de 31 kD dans B.tropicalis qui est IgE-réactive chez 77 % de sujets B.trop+. Homologie 76 % avec une TLP d’Arabidopsis thaliana.
Cette TLP s’ajoute donc à celles relevées dans les plantes, chez des insectes, un némat"
18,7049,2005-07-08,"HM","--- Des critères d'exclusion: IgE >1000, multi-réactivité (>5 CAP+)
--- sur le chip VBC: des recombinants. Les auteurs ont comparé leur chip (somme des réponses des recomb) au CAP. Pas de différence entre les 2 tests pour bouleau (vs Bet v 1 + 2) ou pour"
19,7050,2005-07-08,"HM","¤¤¤
Essai in vitro et en TC d'un hybride Phl p 1/2/5/6 chez des polliniques graminées. Bons résultats."
20,7051,2005-07-08,"HM","--- Application de l'algorithme des Stadler aux séquences présentes dans Allergome
En décembre 2004: 69 motifs (dont 20 sans homologie séquentielle a priori) et sur 967 molécules dans Allergome 180 ne peuvent être rangées dans un des motifs.
En juin 200"
21,7052,2005-07-08,"HM","--- la LTP de fraise a 5 isoformes
--- 31 AA sont différents de Pru p 3 et 18 AA semblent spécifiques de la LTP de fraise (en comparaison avec les LTP des autres rosacées)
--- 34 polliniques bouleau avec OAS pêche/pomme et réactions à la fraise [4 confi"
22,7053,2005-07-08,"HM","--- Env 1,5% des enfants ont une APLV. A l'âge de 10 ans il en reste env 15%
--- l'épitope T dominant de l'alpha s1 caséine est en 133-156. Les épitopes T ne sont pas tous identiques aux épitopes B déjà décrits
--- une réponse T est vue avec les sujets "
23,7055,2005-07-08,"HM","--- essais de RNA silencing: ça marche pour la LTP (IgE-réactivité étant abolie et l'histamine-release très fortement réduite), sans altération apparente de la pousse de la plante. Par contre, le silencing complet de la profiline affecte la plante"
24,7056,2005-07-08,"HM","--- 60 sujets allergiques au latex [âge ?] (Autriche). Les ¾ présentent un ELISA+ pour rHev b 6.02. Des recombinants du domaine hévéine d’Hev b11, de Pers a 1 et de chitinase de banane sont ELISA+ à 52 %, 52 % et 45 %. Mais ces positivités sont nettement "
25,7057,2005-07-08,"HM","--- Epidémiologie de l'anphylaxie alimentaire des enfants australiens
162 cas confirmés (incidence 1,4/100 000); ratio garçons/filles = 1,6
--- 2 décès (1 arachide, 1 nut?); choc 9%
--- 65% at home; 68% 1ère réaction; exposition accidentelle (chez alle"
26,7058,2005-07-08,"HM","--- étude de 152 sujets sous antacide (anti-H2 ou inhib pompe protons) pendant 3 mois. Une augemenation de l'IgE-réactivité est vue chez 25% et une IgE-réactivité de novo chez 15%.
Des aliments se positivent sans pollinose associée (PdT, céleri, carotte,"
27,7059,2005-07-08,"HM","Spores of Cladosporium species contained a
concentration of allergens higher than mycelia"
28,7060,2005-07-08,"HM","--- Etude de divers groupes:
22 suisses TPODA+ cerise
122 allemands [dont des poll bouleau sûrement] et espagnols avec allergie à la cerise 
20 polliniques bouleau (sans allergie cerise)
23 contrôles
--- 96% des suisses et allemands sont rPru av 1+ ("
29,7061,2005-07-08,"HM","--- 86 adultes (>=15 ans) avec histoire de réaction au kiwi. Parmi eux 10 avec réaction sévère. Sur les 76 restants testés en TPODA, 15 sont placebo+
Avec les 61 TPODA valides (36% sont +) les auteurs comparent l'AUC des courbes ROC: le TC natif est légè"
30,7063,2005-07-08,"HM","--- description d'un cas d'anaphylaxie au venin d'hyménoptère: tous les tests (TC, CAP) sont négatifs pour l'abeille, vespula et polistes classiques. Le patient n'est positif que pour Polistes dominulus (en IDR mais pas en CAP). Les auteurs soulignent que"
31,7067,2005-07-08,"HM","[trop éloigné]"
32,7072,2005-07-08,"HM","--- En cas de double positivité (DP) abeille/guêpe, on peut rencontrer des IgE anti-CCD.
--- Les auteurs ont repris leurs dossiers de DP. Chez 146 sujets ils trouvent 38 cas sans CCD (CAP HRP négatif) et 108 CCD+ (dont 91 CAP latex+) [semblent avoir été "
33,7073,2005-07-08,"HM","[pharmacia]
---  Un CAP ""MUXF3"" est préparé à partir de glycopeptides [? Ou de glycanes] de broméline par protéolyse.
---  Divers CAP sont testés avant et après inhibition par ces glycopeptides : un sérum surtout positif en olivier est peu inhibé, tandi"
34,7086,2005-07-08,"HM","--- 56 polliniques platane [NB : le diagnostic était porté avec aussi TC+ extrait platane : donc impossible de dire si les allergènes purs sont meilleurs que les extraits] dont 16 mono-platane.
--- In vitro (EAST) nPla a 1 et nPla a 2 sont bien corrélés "
35,7087,2005-07-08,"HM","--- Cup a 1 est positif chez 82% des polliniques à C. arizonica.
--- Les auteurs ont testé un nCup a 1 et un rCup a 1 (dans E. coli) : les 2 ont une sensibilité > à l'extrait (97% et 100% vs 90%) avec la même spécificité (100%). Par contre in vitro (EAST"
36,7088,2005-07-08,"HM","--- Les auteurs ont étudié 132 polliniques bouleau et/ou graminées (Allemagne) [Age=?, certitude de la pollinose = ?]. Leurs CAP bouleau et fléole devaient être > 5 kU.
--- [Quel est l'apport des recombinants ?:
** fléole+ : rPhl p1/p5 est CAP+ chez 95/"
37,7092,2005-07-08,"HM","[titre affiché: Cladosporium herbarum ans Malassezia sp. allergen extracts share crossreacting carbohydrate parts]
[publié plus tard = 7861]"
38,7094,2005-07-08,"HM","--- Parmi 13 sujets sensibilisés [TC+ ?] au frêne, 12 sont Fra e 1+ en blot et 6 Fra e 2+. Les blots frêne effectués chez 40 sujets olivier+ donnent 24 Fra e 1+ (60 %) et 2 Fra e 2+. Parmi les 8 graminées+, les auteurs trouvent 4 Fra e 2+.
--- Un blot 2D"
39,7096,2005-07-08,"HM","--- Les auteurs repèrent en 2D de nombreux spots IgE réactifs dans le pollent de cryptomeria (31 spots de nature inconnue sont même plus forts que celui de Cry j 2). Un spot correspond à une chitinase classe 4. Cet allergène de 34 kD (CJP-4) est trouvé 10"
40,7103,2005-07-08,"HM","--- Isolement de Mag133 dans D.ptero (positif in vitro chez 68 % des D.ptero+, n = 19, Japon). C’est un membre de la famille UK114 (chaperone, et impliqué dans la régulation des ribonucléase et synthèse d’AA). PM = 16 kD."
41,7104,2005-07-08,"HM","[déjà présenté à San Antonio !! -> 6712]"
42,7105,2005-07-08,"HM","[correspond à 6957]"
43,7109,2005-07-08,"HM","[vérifier avec le FT pdf]
¤¤¤
--- 207 enfants asthmatiques (Allemagne) [et plutôt atopiques car en plus d’au moins 1 positivité indoor, 65 % sont CAP + graminées, autant pour D.pter/far, etc…]. CAP+ pour Penicillium chez 8 % et CAP+ Alternaria chez 17 %"
44,7112,2005-07-08,"HM","[publié plus tard = 8332]"
45,7115,2005-07-08,"HM","--- Les auteurs ont étudié un très large groupe d’enfants.
[Les conditions des TPO et le nombre exact des TPO faits/pas faits ne sont pas donnés. De même que d’autres critères comme l’âge moyen ou la DA pour les différents aliments]. Globalement l’étude "
46,7118,2005-07-08,"HM","[pas gënés les auteurs présentent la même chose un an après à l'EAACI de Vienne !]"
47,7119,2005-07-08,"HM","[??? Étude faite sur des sujets dont certains avaient une ""past history"" d'allergie aux crustacés : est-ce une ""histoire"" d'allergie ou une allergie guérie ??]"
48,7120,2005-07-08,"HM","--- Un enfant de 10 ans pollinique avec OAS connu (pêche, melon, pastèque, banane) fait un OAS avec des pickles (Espagne). Il est TC+ natif pour concombre, courgette, etc…
In vitro (Centaur [= ?]) il est trouvé > 100 kU pour une profiline, 7,8 pour Pru p"
49,7122,2005-07-08,"HM","--- Etude de la réactivité de différentes LTP chez 19 espagnols allergiques à la noisette (TPODA). Ces sujets sont aussi (TC+ et/ou TPODA+) : pêche 18, pomme 12, raisin 5, fraise 3, tournesol 3. Le maïs était toléré par tous les sujets.
--- Existe-t-il u"
50,7123,2005-07-08,"HM","--- Etude de 77 espagnols (Madrid) allergiques à la pomme (23 ans en moyenne) dont 39 % avec réactions systémiques. Pollinose chez 86 %). En RAST ces patients sont nMal d 3 > r Mal d 4 >> rMal d 2 > n Mal d 1. 
Les odd ratios pour une réaction locale son"
51,7124,2005-07-08,"HM","[résumé]. Un pool de sujets bouleau-pomme donne en blot différentes bandes de 9 à 48 kD. Une bande est plus fréquente (30-31 kD) qui présente une homologie avec l’hévamine. Une 17 kD a une homologie avec la famille MLP-Bet v 1."
52,7125,2005-07-08,"HM","--- 103 enfants (4-18 ans) avec pollinose bouleau (Allemagne + Suède). La réactivité CAP à divers recombinants alimentaires est étudiée [mais le diagnostic d'allergie alimentaire est invalide : reported by patients].
--- [Les auteurs présentent les kU : "
53,7127,2005-07-08,"HM","--- Etude 150 espagnols (Madrid) allergiques à la pêche (âge moyen 23 ans). Polliniques : 79 %. Réactions locales + systémiques : 24 %, locales seules 69 %, systémiques seules 7 %.
L’IgE-réactivité [RAST maison] est nPru p 3 69 %, rBet v 2 44 % et rBet v"
54,7129,2005-07-08,"HM","[publié plus tard = 7389]"
55,7130,2005-07-08,"HM","--- En SDS-PAGE la pulpe de tomate présente un profil beaucoup plus pauvre que la peau (cf fig 2) laquelle montre surtout une bande 9 kD [inversion ? Apparemment non: idem dans le texte]
--- Parmi des adultes (n = 236, Espagne) avec suspicion d’allergie "
56,7131,2005-07-08,"HM","--- Etude de 74 sujets avec histoire d’allergie à la tomate (39 Allemagne, 35 Espagne).
Un OAS est vu chez 32 des 39 allemands et 21 des 35 espagnols tandis qu’une réaction systémique est chez 7 et 14.
--- Les auteurs isolent Lyc e 3, LTP de la tomate ("
57,7132,2005-07-08,"HM","[publié plus tard = 7303]"
58,7133,2005-07-08,"HM","--- 19 sujets CAP+ latex et châtaigne [16 fois/19 les kU latex sont >]. [Pas de TPO]. La plupart des sujets réagissaient avec un OAS.
--- En CAP les positivités pour les recombinants sont : 10% Hev b 1, 32% Hev b 5, 58% Hev b 6.01, 21% Hev b 7, 21% Hev b"
59,7134,2005-07-08,"HM","--- 85 sujets [tous adultes ?] dont 39 HCW avec allergie [ ?] au latex (Allemagne) sont revus après 3,8 ± 1,9 années d’éviction du latex et des aliments-latex.
Avant éviction : 21 % sont kiwi+ in vitro [CAP ?], 34 % banane+ et 68 % condurango+. Après évi"
60,7135,2005-07-08,"HM","[publié plus tard = 7229]"
61,7136,2005-07-08,"HM","--- Un cas d’adulte poly-pollinique (Espagne) ayant présenté une allergie à l’ingestion d’un mélange de fruits. Il est TC+ natif pour le litchi et la date (mais aussi le latex, les pignons, la pistache, les graines de tournesol).
Des blots sont faits [ma"
62,7137,2005-07-08,"HM","--- Act c 1 est digérée en 1 h de digestion gastrique, mais ce résultat montre une résistance > à ce qui avait été dit précédemment. Act c 1 fait des agrégats à pH acide et cela ralentit la digestion.
--- Act c 2 résiste très bien à 2 h de digestion gast"
63,7138,2005-07-08,"HM","--- Les auteurs montrent 3 protéines (20,26 et 27 kD, probablement des isoformes) IgE réactives chez des sujets allergiques au kiwi (n =5, Serbie). Un pool de sérum de polliniques à l’armoise inhibe ces protéines, de même qu’un Ab anti-Art v1 [pas clair s"
64,7139,2005-07-08,"HM","¤¤¤
Un cas d'allergie au kiwi pour lequel les auteurs ont trouvé en blot une 30kD avec la peau mais pas avec la pulpe du kiwi."
65,7142,2005-07-08,"HM","--- 30 enfants (9 mois à 9 ans) avec challenge oral à la farine de blé [TPODA ? temps d’observation  = ?]. Les auteurs veulent souligner les différences en CAP entre réaction généralisée (n=10) et challenge négatif (n = 16). [En plaçant un cut off (n = 10"
66,7143,2005-07-08,"HM","--- 4 enfants avec CAP+ pollen de blé et farine de blé (mais sans allergie à la farine) ont eu une « CAP-inhibition » [originale : déplétion directe sur un 1er CAP, puis mesure sur le second CAP avec le sérum issu du 1er CAP]. Une déplétion de 50 % ou plu"
67,7146,2005-07-08,"HM","[= article 7522]"
68,7147,2005-07-08,"HM","[= article 7680]"
69,7154,2005-07-08,"HM","--- Les auteurs (Pharmacia entre autres) ont étudié l’amélioration du CAP noisette par adjonction de rCor a 1.04. Dans la plupart des cas, les résultats sont plus forts, parfois même positivés, après cette adjonction (n = 50 patients allemands et suisses)"
70,7155,2005-07-08,"HM","--- Etude réalisée dans le cadre de l’EPAAC Study. Plus de 2000 CAP arachide ont été faits chez ces enfants avec DA et risque familial. Un CAP+ est trouvé chez 25 %, sans différence entre enfants ayant de l’arachide dans leur alimentation [donc non allerg"
71,7157,2005-07-08,"HM","--- Blot 2D d’arachide (grillée) (n = 3 sujets allergiques à l’arachide). Les auteurs estiment que la réactivité, constante pour Ara h1, h2 et h6, n’est retrouvée que sous forme de fragments pour les 11 S.
[cf. figure]."
72,7158,2005-07-08,"HM","--- Les auteurs ont fractionné les conglutines d’arachide et montrent la présence d’Ara h 2, d’une nouvelle isoforme d’Ara h 6 et d’un « processed Ara h 6 » (fait d’Ara h 6 coupé et réassemblé en 2 chaînes). Ils montrent que la réactivité EAST (n = 20) et"
73,7163,2005-07-08,"HM","--- Etude de 22 adultes [proportion d’HCW = ?] (Suisse) avec CAP+ latex. Il y a plus souvent des CAP> 2 kU en cas de symptômes au contact du latex (7 sujets/10 contre 3/11).
--- S’agissant des réactions alimentaires (OAS) [aucune relation n’est notée ave"
74,7164,2005-07-08,"HM","[bof: utilisation d'un test ELISA Allergopharma]"
75,7165,2005-07-08,"HM","¤¤¤
--- Etude de la réactivité aux produits de la mer chez des personnels exposés (criée à Athènes). Un TC+ avec aussi un CAP+ marquait, pour les auteurs, une sensibilisation. 
36 % des employés étaient sensibilisés (contre 10 % dans un groupe contrôle)"
76,7170,2005-07-08,"HM","--- En CAP-inhibition, 11 baker’s sont comparés à 11 contrôles, tous étaient CAP+ graminées (Gx 1), farine de blé et farine de seigle : les graminées inhibent peu (2/11) la farine de blé ou pas la farine de seigle chez les baker’s, mais bien (10/11 et 10/"
77,7173,2005-07-08,"HM","--- Les auteurs ont testé l’inhalation de palmitate chez des souris pour détecter un effet adjuvant (lipophilicité). L’allergène est lui aussi aérosolisé (ovalbumine) avec ou sans alumine. Les auteurs observent une réponse Ig G1 et IgE avec ovalbumine + A"
78,7188,2005-07-08,"HM","[pas d'intérêt: tests faits sur des sujets sains]"
79,7189,2005-07-08,"HM","[La même étude a été poursuivie et présentée à l'AAAAI 2007.
En 2005 98 enfants, en 2007 269
Mais les proportions de >0,1 kU ont changé pour certains CAP:
* œuf : 6 mois 24% (puis 25%), 1an 28% (32), 2 ans 22% (27), 5 ans 67% (52) [bizarre l'absence d'"
80,7190,2005-07-08,"HM","--- 42 SB (Chili) dont 11 (26 %) avec allergie au latex et 40 % avec atopie. Les auteurs ont testé (soit commercial, soit natif) différents aliments : 14 ont [au moins] 1 TC+ aliment (dont 13 sont TC+ latex). La répartition montre des TC+ [classiques (avo"
81,7193,2005-07-08,"HM","¤¤¤
Les auteurs ont étudié 85 allergiques aux acariens (30 + - 10 ans)(Suisse ?): Ils trouvent 15 sujets CAP+ et 11 TC+ crevette. Un TPO ouvert (1 à 3 crevettes) est positif chez 9 (soit 10,6% de la cohorte) dont 5 avec réactions systémiques. Aucun n'ava"
82,7194,2005-07-08,"HM","--- Les auteurs (ALK) montrent que la relevance clinique des acariens de maison et de stockage (histamine release) varie d’un sujet à un autre et d’un pays à un autre (NL vs Espagne).
--- De plus la constitution d’Ab bloquants vis à vis de plusieurs acar"
83,7195,2005-07-08,"HM","[traite des difficultés à reconnaître la relevance clinque d'une réactivité aux acariens chez des sujets qui sont polliniques (l'évocation des pb saisonniers prédomine)]"
84,7197,2005-07-08,"HM","[strictement le même travail que celui de Miami [7745] !!!]"
85,7199,2005-07-08,"HM","¤¤¤
--- Un cas d’anaphylaxie alimentaire induite par l’effort (homme 21 ans, Italie) [Pas de TPODA+ exercice] : les réactions sont vues avec la banane et les noisettes [""toasted""] et le sujet est TC natif+ pour banane, noisette [idem], pomme, ainsi que T"
86,7200,2005-07-08,"HM","[positionnement d'épitopes sur Per a 3.01: pas clair]"
89,7204,2005-07-15,"HM","--- 1 cas d’allergie (OAS) à la grenade chez une femme de 24 ans (Italie) pollinique. TC+ grenade, et ± figue, carotte, mais pas mannitol. Il semble qu’il s’agisse d’une LTP (inhibition par Ab anti-Pru p3) [Cependant le blot très positif vers 8-10 kD pour"
90,7205,2005-07-15,"HM","[= 7539]"
91,7206,2005-07-15,"HM","--- Dans cette étude, le CAP latex est 100% en accord avec le TC Stallergènes [!]"
92,7211,2005-07-15,"HM","[bof]"
93,7212,2005-07-15,"HM","[analyse dans Alim'Inter nov 2005, p293]"
94,7216,2005-07-15,"HM","--- L’ALSPAC study (UK) a inclut des enfants qui sont suivis : à l’âge de 7 ans n = 6412 ont eu différents TC. Les réactivités les + fréquentes sont : mélange de graminées 8,5 %, D.ptero 7,8 %, chat 4,9 %, etc… et arachide 1,4 %, fruits à la coque 1 %.
P"
95,7217,2005-07-15,"HM","--- Selon les auteurs, environ 25% des sujets avec allergie alimentaire en Europe Centrale ont une allergie aux carottes (ref 5, en allemand).
--- Les sujets TPODA+ carotte sont sensibilisés à Dau c 1, Dau c 4 et à des CCD [2174]. Dans cette étude un TC "
96,7218,2005-07-15,"HM","[editorial présentant les 2 articles suivants: rien de particulier]"
99,7221,2005-07-22,"HM","¤¤¤
Der p 1 and Der f 1 have cysteine protease activity [11–15] . The cysteine protease activity of Der p 1 has been suggested to be involved in the pathogenesis of allergy [16] by facilitating a passage of their own and other
allergens across the epith"
100,7222,2005-07-22,"HM","--- Etude portant sur 27 sujets avec OAS orange (0,5 – 19 ans, Espagne) associé à d’aures réactions alimentaires. L’allergie pour l’orange était contrôlée par TPO ouvert et TC natif. Tous sauf un étaient polliniques (surtout graminées et olivier).
--- [L"
101,7223,2005-07-22,"HM","--- Etude de 51 italiens (non latex +, non bouleau +) TC+ LTP commerciaux pêche et prune (extrait quasi mono-LTP) : un TC+ commercial est trouvé chez 45 % pour le pois et 51 % pour le haricot. Ces sujets tolèrent tout à fait pois et haricot.
Les blots (2"
102,7224,2005-07-22,"HM","--- En 1984 Halmepuro décrit une RC entre le bouleau et divers aliments dont l’orange (Int AAI 74(84)235-40).
--- Chez 4 sujets professionnellement polliniques à l’oranger et TC+ orange (mais sans symptômes) les auteurs montrent que l’orange et la mandar"
103,7225,2005-07-22,"HM","--- Préparation d’un Mal d3 (P. pastoris). Les auteurs estiment que rMal d3 est utile au diagnostic moléculaire. Ils trouvent cependant des différences (inexpliquées) entre leur rMal d3 et nMal d3, tant en kD en SDS-PAGE (fig 1) qu’en IgE-réactivité (l’in"
104,7228,2005-07-22,"HM","--- Les auteurs ont étudié 135 enfants avec TC et TPO (dont 37 provenant d’une étude ALSPAC avec recrutement primaire + TC positif). Un TC arachide de 8 mm ou plus a une VPP de 94,4 % (sensib 25 %, likehood ratio 17, prévalence allergie 50 %, DA 41 %, age"
105,7229,2005-07-22,"HM","--- Un cas d'allergie au latex chez un adulte polyopéré (53 ans, Italie) avec TC + chat, graminées, candida. TC négatif pour banane, melon, pêche, etc… avec extraits, mais + en natif (prune; kiwi; abricot; pêche, pomme, tomate, papaye, mangue, chataigne, "
106,7234,2005-07-22,"HM","[autre article des mêmes auteurs sur Bla g 2 : à peu près les mêmes contenus (ici tests avec des mutants)]"
108,7237,2005-07-22,"HM","--- L'épitope T majeur de Bet v 1 est situé en 142-156 : il est reconnu chez 61 % des sujets. 
--- Différentes PR-10 sont capables de stimuler les cellules T spécifiques de cet épitope majeur. Au niveau de cet épitope, la similitude séquentielle est >= 6"
109,7241,2005-07-22,"HM","--- Caractérisation de Pru p1. Le % d’identité avec Bet v1 est de 59 %. Il est de 98 % avec Pru av 1. Chez 10 sujets espagnols réactifs à la pêche, aucun n’est positif pour rPru p 1 (ni r Bet v 1). Chez 19 sujets suisses positifs pour rPru av 1, rPru p1 e"
110,7242,2005-07-22,"HM","[sans intérêt]"
111,7243,2005-07-22,"HM","--- 2 cas d’all. resp. et alimentaire au lapin.
Les 2 sont TC négatifs pour LV, viandes bœuf, porc, poulet.
1 sujet est aussi allergique au chat.
Les 2 sont [dits TC négatifs chien mais la fig 3 semble montrer l’inverse. Les auteurs estiment qu’il pour"
112,7253,2005-07-26,"HM","--- Le galactomannane d'A. fumigatus est un polysaccharide de la paroi (ou secrété) avec un core de tétra-mannoses répétés + des chaînes galacto-furanosyl. Ce polysaccharide est un antigène dans l'aspergillome.
--- Les Aspergillus possèdent aussi des gal"
113,7261,2005-07-26,"HM","¤¤¤
La production de Bla g 1 (= la quantité dans les feces) est liée à l'ingestion alimentaire par les blattes (Bla g 1 est trouvé dans le midgut aussi). Un cycle de production de Bla g 1 est visible chez les femelles (elles jeûnent au moment de la repro"
114,7263,2005-07-26,"HM","[Comment in:  Arch Dis Child. 2005 Jun;90(6):555-6]"
115,7264,2005-08-05,"HM","[cf Figure en FT]"
116,7270,2005-08-06,"HM","--- Arabinogalactan proteins (AGPs) are macromolecular
glycoproteins, which occur in all higher plants. They
are assumed to play an important role in vegetative
growth, cellular development, and programmed cell
death and thus are presumably involved i"
118,7274,2005-08-15,"HM","--- Résultats de NHANES 3 (population US de 6 à 59 ans) [voir 7337 papier pour comparaison avec GA2LEN].
--- Il est trouvé aussi 8,6 % de TC+ arachide [A noter que dans 96 % de ces TC+ il y a aussi un autre TC+ indoor et /ou outdoor].
--- L’évolution de"
119,7280,2005-08-15,"HM","¤¤¤
La patatine est une lipid acid hydrolase"
120,7282,2005-08-15,"HM","¤¤¤
--- Les principales différences entre Api g1 et Bet v1 touchent la portion 23-45, notamment l’AA 45 qui est important dans la liaison IgE.
En examinant la surface externe d’Api g1, 3 patches d’AA conservés apparaissent qui pourraient être le support"
121,7283,2005-08-15,"HM","--- Au Japon les œufs de saumon sont listés comme à étiquetage recommandé. Les protéines des œufs de poissons sont classées comme Lipovitellines, phosvitines et ""beta-component"".
--- Les auteurs ont étudié les œufs de saumon (Onchorynchus keta de hareng "
122,7284,2005-08-15,"HM","¤¤¤
--- Le risque de maladie coeliaque du fait de l'introduction du blé est > chez des enfants < 3 mois que chez des enfants de 4-6 mois [Nb enfants étudiés = ? dans le résumé]."
125,7289,2005-08-22,"HM","--- 26HCW et 13SB avec allergie cliniquement prouvée pour le latex (USA). Les HCW ne sont positifs en ELISA que pour nHev b 2, rHev b 5, rHev b 6 (prohévéine) et nHev b 13. Mais pas pour r1, r3, n4, r7, r8, r9, r10 [Hev b 11 : pas testé].
Les SB sont + p"
126,7294,2005-08-22,"HM","IgE anti-M.-furfur antibodies are a good and specific marker for HNAD head and neck atopic dermatitis). IgE M. furfur levels are strongly correlated with the severity of the disease"
127,7295,2005-08-22,"HM","--- Avec le mûrissement, on assiste à une accumulation dans la banane de B1,3 glucanase, de lectine liant le mannose, de thaumatine-like (laquelle représente env 50% des protéines du fruit)
--- [L'alignement montre un % d'identité avec la thaumatine de b"
128,7303,2005-09-04,"HM","--- Dans un travail précédent, les auteurs avaient montré 2 bandes (30 et 42 kD) dans l’Indian jujube (Z. mauritiana) et une bande [unique ?] 42 kd dans le latex de sujets de patients. Latex et jujube inhibent ces bandes (Lee MF Int AAI 133(04)211).
--- "
129,7307,2005-09-04,"HM","--- On estime à 5-24 nm la distance entre 2 épitopes B pour le cross-linking. Il faut au moins 100 liaisons pour une dégranulation.
--- Le panel estime intéressant de tester 8AA ainsi que 35 % d’identité sur 80AA.
--- Sur les env. 150 épitopes linéaires"
130,7308,2005-09-04,"HM","--- Les auteurs ont testé en TC un extrait châtaigne chez 1738 sujets avec allergie respiratoire (Corée) : 3,2 % sont positifs.
--- L’extrait châtaigne est inhibé par un extrait de pollen du châtaignier (pool n = 9)
--- Les auteurs repèrent une bande im"
131,7309,2005-09-04,"HM","[correspond au poster EAACI = 7164]
[rien à en tirer car trop peu de patients testés avec recombinants]"
132,7312,2005-09-16,"HM","--- 5 cas d’allergie à la pêche (Tunisie).
* Adolescente 14 ans avec pollinose (graminées, cyprès), acariens (avec une réaction ""fruits de mer"" en cours d’IT). Anaphylaxie pêche (et aussi raisin) liée à l’effort. TC+ natifs.
* Infirmière 36 ans, allergi"
133,7314,2005-09-16,"HM","--- Pour Pauli: inhib d'un 21-25kD du frêne par la fléole [3282] [= Lol p11 aurait RC avec Fra e 1. Mais 1 seul patient et inhib partielle]
--- Fra e 3 serait env 9-10 kD [1425] mais [3282] trouve 8-9kD (Ab lapin anti-Aln g 4)
--- le 35kD du frêne pourr"
