"id_biblio","date_biblio","id_redacteur","auteurs","titre","journal","annee","volume","supplement","numero","prem_page","dern_page","autre_media","abstract","lien_ressource_web","full_text_disponible","doublon_vu"
7021,2005-06-01,"HM","Barre A. Borges JP. Rougé P.","Molecular modelling of the major peanut allergen Ara h 1 and other homotrimeric allergens of the cupin superfamily: a structural basis for their IgE-binding cross-reactivity","Biochimie",2005,"87",,,"499","506"," ","
Three-dimensional models of the major vicilin allergens from peanut (Ara h 1), lentil (Len c 1) and pea (Pis s 1), were built by homology-based modelling from the X-ray coordinates of the structurally closely related soybean beta-conglycinin. All the al"," ",VRAI,FAUX
7022,2005-06-01,"HM","Law M. Morris JK. Wald N. Luczynska C. Burney P.","Changes in atopy over a quarter of a century, based on cross sectional data at three time periods","BMJ",2005,"330",,,"1187","1188"," ",,"15833748",VRAI,FAUX
7023,2005-06-01,"HM","Maleki SJ. Hurlburt BK.","Structural and functional alterations in major peanut allergens caused by thermal processing","J AOAC Int",2004,"87",,,"1475","1479"," ","
The majority of foods that we eat are subjected to some type of processing either at home or by the manufacturer. The biochemical reactions that occur in foods as a result of thermal processing can be both beneficial and harmful. Here, we briefly review","15675461",VRAI,FAUX
7024,2005-06-01,"HM","Westphal CD. Raybourne RB.","Potential allergenicity of novel proteins in murine models","J AOAC Int",2004,"87",,,"1433","1440"," ","
Bioengineered crops represent an important advancement for farmers who want to avoid losses caused by insect infestations or adverse environmental conditions. However, the use of modern biotechnology has raised questions regarding the safety of bioengin",,FAUX,FAUX
7025,2005-06-01,"HM","Weangsripanaval T. Moriyama T. Kageura T. Ogawa T. Kawada T.","Dietary Fat and an Exogenous Emulsifier Increase the Gastrointestinal Absorption of a Major Soybean Allergen, Gly m Bd 30K, in Mice","J Nutr",2005,"135",,,"1738","1744"," ","
The mechanisms by which food allergens are absorbed and sensitized via the gastrointestinal tract have not been well characterized. In this study, the gastrointestinal absorption of a major soybean allergen, Gly m Bd 30K, in young and older mice, and th","15987858",VRAI,FAUX
7026,2005-06-01,"HM","Kanny G.","Dermatite atopique de l'enfant et allergie alimentaire: association ou causalité. Faut-il faire des régimes d'éviciton ?","Ann Dermatol Venereol",2005,"132","Spec n°1",,"S90","S103"," ","
Atopic dermatitis (AD) is one of the first manifestations of the atopic march. The natural history of food allergies (FA) is closely related to AD. Sensitivity to food is demonstrated with cutaneous tests (prick-tests and atopy patch-tests) or the prese"," ",VRAI,FAUX
7027,2005-06-01,"HM","Mittermann I. Voronin V. Heberle-Bors E. Valenta R.","Identification of a villin-related tobacco protein as a novel cross-reactive plant allergen","FEBS Lett",2005,"579",,,"3807","3813"," ","
In a paradigmatic approach we identified cross-reactive plant allergens for allergy diagnosis and treatment by screening of a tobacco leaf complementary DNA (cDNA) library with serum IgE from a polysensitized allergic patient. Two IgE-reactive cDNA clon"," ",VRAI,FAUX
7028,2005-06-01,"HM","Midoro-Horiuti T. Schein CH. Mathura V. Braun W. Czerwinski EW. Togawa A. Kondo Y. Oka T. Watanabe M. Goldblum RM.","Structural basis for epitope sharing between group 1 allergens of cedar pollen","Mol Immunol",2006,"43",,,"509","518"," ","
The group 1 allergens are a major cause of cedar pollen hypersensitivity in several geographic areas. Allergens from several taxa have been shown to cross-react. The goal of these studies was to compare the structural features of the shared and unique e"," ",VRAI,FAUX
7029,2005-06-01,"HM","Mitre E. Norwood S. Nutman TB.","Saturation of immunoglobulin E (IgE) binding sites by polyclonal IgE does not explain the protective effect of helminth infections against atopy","Infect Immun",2005,"73",,,"4106","4111"," ","
One hypothesis for the decreased rates of atopy observed among helminth-infected individuals is that parasite-induced polyclonal immunoglobulin E (IgE) out-competes allergen-specific IgE for FcepsilonRI binding on basophils and mast cells. In experiment"," ",VRAI,FAUX
7030,2005-06-01,"HM","Celik G. Mungan D. Pinar M. Misirligil Z.","Poplar pollen-related allergy in Ankara, Turkey: how important for patients living in a city with high pollen load ?","Allergy Asthma Proc",2005,"26",,,"113","119"," ","
The impact of high pollen load of particular plants on sensitized subjects is a topic of interest. We aimed to detect the clinical importance of poplar allergy in subjects with seasonal allergy living in Ankara, capital city of Turkey, having a high pop","15971469",FAUX,FAUX
7031,2005-06-01,"HM","Kim SH. Choi JH. Park HS.","Heterogeneity of the IgE response to allergenic determinants of cefaclor in serum samples from patients with cefaclor-induced anaphylaxis","Ann Allergy Asthma Immunol",2005,"94",,,"700","704"," ","
BACKGROUND: Beta-lactam antibiotics, such as cefaclor, may cause IgE-mediated anaphylactic reactions. However, the clinically available serologic test has not been widely accepted, and the antigenic determinants of these drugs are unclear. OBJECTIVE: To"," ",FAUX,FAUX
7032,2005-06-01,"HM","Schwindt CD. Hutcheson PS. Leu SY. Dykewicz MS.","Role of intradermal skin tests in the evaluation of clinically relevant respiratory allergy assessed using patient history and nasal challenges","Ann Allergy Asthma Immunol",2005,"94",,,"627","633"," ","
BACKGROUND: Skin testing, correlated with patient history, is the accepted method of identifying clinically relevant aeroallergen sensitivity. Traditionally, intradermal tests are believed to be more sensitive in identifying aeroallergen sensitivity tha"," ",FAUX,FAUX
7033,2005-06-01,"HM","Weber RW.","Medicago sativa","Ann Allergy Asthma Immunol",2005,"94",,"6","A6",," ",," ",VRAI,FAUX
7034,2005-06-01,"HM","Palma-Carlos AG. Palma-Carlos ML. Tengarrinha F.","Allergy to sunflower seeds","Eur Ann Allergy Clin Immunol",2005,"37",,,"183","186"," ","
A case of oral syndrome after eating sunflower seeds is reported. Sensitization has been probably through inhalant route when using these seeds to feed birds. Skin prick tests with a fresh macerate of sunflower seeds has been clearly positive (greater t",,VRAI,FAUX
7035,2005-06-01,"HM","Tavares B. Rordigues F. Pereira C. Loureiro G. Chieira C.","Development of new IgE specificities to hymenoptera allergens during venom specific immunotherapy","Eur Ann Allergy Clin Immunol",2005,"37",,,"171","176"," ","
BACKGROUND: Despite the benefits of specific immunotherapy (SIT) being clinically well documented for allergic diseases, new IgE specificities to SIT extract allergens could be induced during the treatment. The authors evaluated these changes in patient",,VRAI,FAUX
7036,2005-06-01,"HM","Beintema JJ. Stam WT. Hazes B. Smidt MP.","Evolution of Arthropod Hemocyanins and Insect Storage Proteins (Hexamerins)","Mol Biol Evol",1994,"11",,,"493","503"," ",," ",VRAI,FAUX
7037,2005-06-01,"HM","Gaig P. Gasquez V. Lombardero M. Botey E. Garcia-Ortega P.","Moth plant (Araujia sericifera) allergy","Allergy",2005,"60",,,"1092","1093"," ",,"15969698",VRAI,FAUX
7038,2005-06-01,"HM","Jimenez M. Pineda F. Sanchez I. Orozco I. Senent C.","Allergy due to Ensis macha","Allergy",2005,"60",,,"1090","1091"," ",,"15969696",VRAI,FAUX
7039,2005-06-01,"HM","Mehl A. Verstege A. Staden U. Kulig M. Nocon M. Beyer K. Niggemann B.","Utility of the ratio of food-specific IgE/total IgE in predicting symptomatic food allergy in children","Allergy",2005,"60",,,"1034","1039"," ",,"15969684",VRAI,FAUX
7040,2005-06-01,"HM","Daschner A. Pascual CY.","Anisakis simplex: sensitization and clinical allergy","Curr Opin Allergy Clin Immunol",2005,"5",,,"281","285"," ","
PURPOSE OF REVIEW: Whereas gastric anisakiasis has been known for several decades, the implications of Anisakis simplex-related allergic disorders had not been thoroughly studied until the late 1990s. This article reviews recent knowledge of allergic di"," ",VRAI,FAUX
7041,2005-06-01,"HM","Mari A. Ballmer-Weber BK. Vieths S.","The oral allergy syndrome: improved diagnostic and treatment methods","Curr Opin Allergy Clin Immunol",2005,"5",,,"267","273"," ","
PURPOSE OF REVIEW: The aim of this article is to review recent clinical and molecular findings related to the oral allergy syndrome in order to define its relevance in the field of food allergy, describe current diagnostic approaches and discuss attempt"," ",FAUX,FAUX
7042,2005-06-01,"HM","Beyer K. Teuber SS.","Food allergy diagnostics: scientific and unproven procedures","Curr Opin Allergy Clin Immunol",2005,"5",,,"261","266"," ","
PURPOSE OF REVIEW: The accurate diagnosis of food allergy is crucial not only for the right treatment but also for the avoidance of unnecessary diets. The diagnostic work-up of suspected food allergy includes the measurement of food-specific IgE antibod"," ",FAUX,FAUX
7043,2005-07-01,"HM","Motta A. Steerenberg PA. Peltre G. Bois FY. Lacroix G.","Air pollution increases pollen allergens bioavailability","Allergy Clin Immunol Int",2005,"17","Suppl. 1",,"1",," ","1 - 

Background: Air pollution is one the possible factor explaining the current increase of allergic diseases prevalence. Inhalation of particulate as well as
gaseous pollutants induces an irritant effect on the respiratory tract and an adjuvant effe",,FAUX,FAUX
7044,2005-07-01,"HM","Luger EO. Fokuhl V. Wegmann M. Renz H. Radbruch A.","Long-lived plasma cells and the persistence of allergen-specific IgE","Allergy Clin Immunol Int",2005,"17","Suppl. 1",,"4",," ","7 - 

Background: IgE antibodies play a major role in the pathogenesis of typ I allergies. As the half life of serum IgE is short, plasma cells continuously have to
secrete large amounts of IgE to maintain the serum titers over long periods of time. It"," ",FAUX,FAUX
7045,2005-07-01,"HM","Bakos N. Schöll I. Szalai K. Untersmayr E. Jensen-Jarolim E.","Allergic disorders in the elderly are underdiagnosed: First epidemiologic study in the elderly people","Allergy Clin Immunol Int",2005,"17","Suppl. 1",,"7",," ","15 - 

The prevalence of allergy in old people is not defined yet. We investigated a geriatric population of 144 people (49 men, 95 women), mean age 71 years,
residents in an old people's home in Hungary. The cross-sectional study included a detailed i"," ",FAUX,FAUX
7046,2005-07-01,"HM","Godfrin D. Senechal H. Desvaux F-X. Mayer C. Hennion M-C. Peltre G","Allergomes of rapeseed pollen and seed (Brassica napus)","Allergy Clin Immunol Int",2005,"17","Suppl. 1",,"17",," ","37 - 


Background: Rapeseed is the main oleaginous seed cultivated in Europe and mainly used to produce seed rape oil for human consumption. Seeds and
cattle-cake, left over from the oil production, are also used for animal consumption. Some Brassica",,FAUX,FAUX
7047,2005-07-01,"HM","Meno K. Thorsted PB. Ipsen H. Kristensen O. Spangfort MD. Gajhede M. Lund K.","Analysis of the crystal structure of the major mite allergen Der p 1 in its pro form with emphasis on differences in antibody binding of pro/mature Der p 1","Allergy Clin Immunol Int",2005,"17","Suppl. 1",,"18",," ","39 - 

Background: Inhalation allergy to house dust mite is among the most prevalent allergic diseases worldwide. The most important mite allergens in terms of
prevalence of reactivity and quantities of IgE belong to group 1 and 2. Group 1 contains a c",,FAUX,VRAI
7048,2005-07-01,"HM","Mercado D. Boluda L. Fernández-Caldas E. Caraballo L.","Identification of a native allergen from Blomia tropicalis (Bt) homologous to thaumatin-like proteins","Allergy Clin Immunol Int",2005,"17","Suppl. 1",,"18",," ","40 - 

Background. Bt is a common domestic mite in the tropics and an important risk factor for allergic asthma; so, the identification of its allergens is important
for diagnosis and treatment purposes.
Objective.We sought to identify new native alle",,FAUX,VRAI
7049,2005-07-01,"HM","Wöhrl S. Vigl K. Hiller R. Jarisch R. Stingl G. Kopp T.","The performance of component-based allergen-biochips in clinical practice","Allergy Clin Immunol Int",2005,"17","Suppl. 1",,"19",," ","42 - 

Background: Diagnosing type-1 allergies consists of history, skin prick test (SPT) and determination of specific and total serum-IgE. Most laboratories
worldwide use the ImmunoCAP® assay (CAP, PharmaciaDiagnostics, Uppsala, Sweden) for the detec",,FAUX,VRAI
7050,2005-07-01,"HM","Metz-Favre C. Linhart B. Purohit A. De Blay F. Valenta R. Pauli G.","In vivo and in vitro diagnostic of grass pollen allergy with a single recombinant hybrid molecule consisting of the major timothy grass pollen allergens","Allergy Clin Immunol Int",2005,"17","Suppl. 1",,"19",," ","43 - 

Background: A recombinant hybrid molecule consisting of the major allergens from timothy grass (Phl p 1, 2, 5 and 6) was expressed in Escherichia coli
and purified to homogeneity.
Methods: Skin prick testing was performed in 35 grass pollen all",,FAUX,VRAI
7051,2005-07-01,"HM","Mari A. Truffer R. Stadler MB. Stadler BM.","Identification of allergenic molecules using the ""Sequence motifs"" computational approach","Allergy Clin Immunol Int",2005,"17","Suppl. 1",,"30",," ","66 -

In the last decades an increasing number of allergenic molecules have been identified, characterized, and cloned. The Allergome database (http://www.
allergome.org) reports 990 non-redundant allergenic molecules, excluding isoforms (retrieving da"," ",FAUX,VRAI
7052,2005-07-01,"HM","Zuidmeer L. Salentijn E. Fernandez Rivas M. Gonzalez Mancebo E. Bolhaar S. Knulst A. Hoffmann-Sommergruber K. Asero R. Matos C. Pelgrom K. van Ree R.","IgE reactivity to strawberry allergens","Allergy Clin Immunol Int",2005,"17","Suppl. 1",,"30",," ","67 - 

Background In contrast to other Rosaceae fruit, only few cases of patients with adverse reactions to strawberry are listed in literature.The aim of this study
is to identify allergenic proteins in strawberry and to express and characterize recom"," ",FAUX,VRAI
7053,2005-07-01,"HM","Ruiter B. Tregoat V. M'Rabet L. Garssen J. Knol E. van Hoffen E.","Identification of immunodominant T cell epitopes in alpha s1 casein using T cells from cow's milk allergic, atopic and non-atopic children","Allergy Clin Immunol Int",2005,"17","Suppl. 1",,"31",," ","68 - 

Background: In western countries, approximately 1.5 % of infants suffer from IgE-mediated allergic reactions against cow’s milk proteins. Most children
develop clinical and immunological tolerance, but about 15 % is still allergic by the age of "," ",FAUX,VRAI
7054,2005-07-01,"HM","Rigby N. Wal JM. Mondoulet L. Boehm A. Dehlink E. Mills C. Valent P. Urbanek R. Szépfalusi Z. Eiwegger T.","Gastro-duodenal digestion of Ara h 1 leads to formation of complexes able to induce allergic responses","Allergy Clin Immunol Int",2005,"17","Suppl. 1",,"31",," ","69 - 

Background: Peanut allergy is one of the most common and serious immediate type hypersensitivity reaction to foods with unpredictable persistency and
severity of reaction upon reexposure. The process of gastro-duodenal digestion strongly affects"," ",FAUX,VRAI
7055,2005-07-01,"HM","Scheurer S. Le Quynh L. Lorenz Y. Retzek M. Foetisch K. von Schaewen A. Kaulfuerst H. Enrique E. Bartra J5. Crespo J6. Biemelt S. Vieths S. Sonnewald U","Gene silencing is an efficient tool to reduce the allergenic potential of tomato fruits","Allergy Clin Immunol Int",2005,"17","Suppl. 1",,"31","32"," ","70 - 

Background: The dsRNAi (double stranded RNA interference) technology has been described as a powerful method for post-transcriptional downregulation
of target genes in transgenic crop plants. We aimed at providing a proof of concept for this mol"," ",FAUX,VRAI
7056,2005-07-01,"HM","Radauer C. Wagner S. Allwardt D. Adhami F. Leitzenberger I. Hafner C. Bublin M. Scheiner O. Breiteneder H.","Determination of the cross-reactivity between the major latex allergen hevein and hevein-like domains of class I chitinases in a group of latex allergic patients","Allergy Clin Immunol Int",2005,"17","Suppl. 1",,"45",," ","99 - 

Background: About one half of latex-allergic patients suffer from adverse reactions towards several plant foods including avocado, banana, chestnut, and
kiwi fruit. This so-called latex-fruit syndrome is commonly attributed to IgE cross-reactivi"," ",FAUX,FAUX
7057,2005-07-01,"HM","Dosen AM. Ziegler JB. Kakayos A. Gold M.","Australian National Surveillance of Anaphylaxis following food ingestion follow-up data from 2002-3","Allergy Clin Immunol Int",2005,"17","Suppl. 1",,"65",," ","138 - 

Background Anaphylaxis is a life threatening, acute allergic reaction requiring prompt medical treatment.However, the incidence and mortality from
anaphylaxis associated with food is not known.The Australian Paediatric Surveillance Unit study r"," ",FAUX,FAUX
7058,2005-07-01,"HM","Untersmayr E. Bakos N. Schöll I. Kundi M. Platzer MH. Szalai K. Scheiner O. Stahl-Skov P. Poulsen LK. Boltz-Nitulescu G. Jensen-Jarolim E.","Hypoacidity supports sensitization to food proteins and lowers threshold levels","Allergy Clin Immunol Int",2005,"17","Suppl. 1",,"66",," ","140 - 

Background: We could show previously that therapy with antacids or anti-ulcer drugs promotes the development of type I food allergy towards digestionlabile
food proteins in BALB/c mice. In the present study we aimed to analyse whether our exper"," ",FAUX,VRAI
7059,2005-07-01,"HM","Bouziane H. Latge J. Fitting C. Mecheri S. Lelong M. David B.","Comparison of the allergenic potency of spores and mycelium of Cladosporium","Allergol Immunopathol (Madr)",2005,"33",,,"125","130"," ","
The allergenic potency of spore and mycelium extracts of Cladosporium was estimated by RAST, RAST inhibition and PCA tests. Spores contained a concentration of allergens higher than mycelia. Results of PCA tests suggested that spores contained specific ","15946623",VRAI,FAUX
7060,2005-07-01,"HM","Reuter A. Lidholm J. Andersson K. Östling J. Lundberg M. Scheurer S. Cistero Bahima A. San Miguel-Moncin M. Ballmer Weber B. Vieths S.","Cherry allergy - Recombinant allergens are highly sensitive in vitro diagnostic tools","Allergy Clin Immunol Int",2005,"17","Suppl. 1",,"66","67"," ","142 - 

Background: A recent study demonstrated the utility of recombinant allergens (RAs) as in vivo SPT reagents in the diagnosis of cherry allergy. The aim of
this study was to investigate the suitability of the RAs rPru av 1, rPru av 3, and rPru av"," ",FAUX,VRAI
7061,2005-07-01,"HM","Casasnovas P. Oliver A. Sanchez-Jimenez M. Rodriguez J. Crespo JF.","Receiver operating characteristics analyses of allergen skin test and specific IgE in the diagnosis of clinical allergy to kiwi","Allergy Clin Immunol Int",2005,"17","Suppl. 1",,"67",," ","143 - 

Background: Few studies have evaluated IgE mediated hypersensitivity to kiwi with details of the diagnostic value of clinical investigation by skin tests and
specific IgE antibody assay compared with a double-blind placebo-controlled food chall"," ",FAUX,FAUX
7062,2005-07-01,"HM","Johanson N. Reimers A. Weber M. Fromberg-Nielsen J. Müller U.","Comparison of two methods for measuring venom-specific serum IgE antibodies in Hymenoptera venom allergy: CAP and ADVIA CENTAUR","Allergy Clin Immunol Int",2005,"17","Suppl. 1",,"68","69"," ","146 - 

Background: Commercially available tests for venom specific serum IgE antibodies are very sensitive but may be suboptimal with regard to specificity,
especially for individual venoms. It was therefore decided to compare a conventional test (CAP"," ",FAUX,FAUX
7063,2005-07-01,"HM","Bilò MB. Brianzoni MF. Cinti B. Napoli G. Fusari A. Bonifazi F.","The dilemma of the negative skin test reactors with a history of venom anaphylaxis","Allergy Clin Immunol Int",2005,"17","Suppl. 1",,"69",," ","147 - 


The loss of sensitization over time, the involvement of a different pathogenetic mechanism and the poor sensitivity of diagnostic tests have been included
among the causes of a non IgE-mediated anaphylaxis triggered by an insect sting. To pro"," ",FAUX,FAUX
7064,2005-07-01,"HM","Mayorga C. Torres MJ. R-Pena R. Perez-Inestrosa E. Montanez MI. Rodrigues-Bada JL. Suau R. Romano A. Blanca M.","Immediate allergic reactions to cephalosporins: evaluation of in vitro crossreactivity of specific IgE","Allergy Clin Immunol Int",2005,"17","Suppl. 1",,"75",," ","159 - 

Rationale: Cephalosporins are the second most important betalactams in induction of immediate allergic reaction (IAR). The methods to evaluate these
reactions are usually done with penicillin derivatives because high cross-reactivity is assumed"," ",FAUX,FAUX
7065,2005-07-01,"HM","Overbeck T. Michael C. Robinson WS. Gandhi R. Waikart L. Lehman J. Smith J. Lew DB.","Mannan from the Saccharomyces cerevisiae inhibits ovalbumin-induced allergic asthma in mice","Allergy Clin Immunol Int",2005,"17","Suppl. 1",,"82",," ","180 - 


Background: Complex carbohydrates and lipoglycans have shown promising effects in regulating biological activities important in immune responses. We
have previously demonstrated that airway smooth muscle (ASM) expresses mannose-recognizing re"," ",FAUX,FAUX
7066,2005-07-01,"HM","Cardenas R. Fernandez C. Garcimartin M. Romero S. Crespo JF. Rodriguez J. Daroca P. Vives R.","ROC curves analysis of skin testing to predict clinical allergy to cat dander in asthmatics subjects","Allergy Clin Immunol Int",2005,"17","Suppl. 1",,"108","109"," ","263 - 


Background: Asthmatic patients can be sensitized to cat allergens without clinical allergy. The aim of this work has been to analyze the performance
characteristics of the results of skin testing with cat dander with the outcome of the bronch",,VRAI,FAUX
7067,2005-07-01,"HM","Aydogan M. Nihal M. Akdis C. Akdis M. Blaser K. Akkoc T. Bahceciler NN. Barlan IB.","Low Der p1-specific IgA/IgE ratio: Is it a risk factor for development of childhood asthma in atopic children ?","Allergy Clin Immunol Int",2005,"17","Suppl. 1",,"109","110"," ","265 - 

Background: Although children with allergic airway disease who are sensitized to House Dust Mite (HDM) are known to have increased levels of IgE and
IgG antibodies against it, the association between the quantity of those immunoglobulins and th",,FAUX,FAUX
