"id_biblio","date_biblio","id_redacteur","auteurs","titre","journal","autre_media","annee","volume","supplement","numero","prem_page","dern_page","abstract","full_text_disponible"
29,,"henriM","Hoffman DR. Dove DE. Moffitt JE. Stafford CT.","Allergens in Hymenoptera venom. XXI. Cross-reactivity and multiple reactivity between fire ant venom and bee and wasp venoms","J Allergy Clin Immunol",,1988,"82",,,"828","834","The relationships between fire ant venom and bee and wasp venoms were explored by studying sera from five groups of subjects. Group 1 included adults not allergic to any venoms and who were not exposed to fire ants.  Group 2 included adults with fire ant ",FAUX
30,,"henriM","Mandallaz MM. de Weck AL. Dahinden CA.","Bird-egg syndrome. Cross-reactivity between bird antigens and egg-yolk livetins in IgE-mediated hypersensitivity","Int Arch Allergy Appl Immunol",,1988,"87",,,"143","150","87 adult patients from our allergy clinic were skin tested with budgerigar and canary feathers, hen's egg white and egg yolk and common inhalant allergens. Of 59 patients found to be atopic, 17 (29%) were concomitantly sensitized to bird dander and egg pr",FAUX
31,,"henriM","Mercier P. Panzani RC.","Human castor bean allergy and HLA-A, B, C, DR","J Asthma",,1988,"25",,,"153","161","Our results in 27 castor bean-allergic patients typed for HLA-A, B, C, DR antigens show (although the observed difference did not reach a statistical significance after correction for the number of tested specificities) an increase of A2 cross-reacting gr",FAUX
32,,"henriM","Wang XS. Suskind RR.","Comparative studies of the sensitization potential of morpholine, 2-mercaptobenzothiazole and 2 of their derivatives in guinea pigs","Contact Dermatitis",,1988,"19",,,"11","15","The aim of this study was to determine the sensitization potential of morpholine (M), 4,4'-dithiodimorpholine (DTDM), morpholinyl-mercaptobenzothiazole (MMBT) and 2-mercaptobenzothiazole (MBT) in guinea pigs. 5% and 10% DTDM, MMBT and MBT produced irritat",FAUX
33,,"henriM","Sell M. Schubert H.","[Sensitizing Primula species. Measurement of allergens, skin tests and potential cross reactions]. [German]","Dermatol Monatsschr",,1988,"174",,,"80","86","pas d'abstract",FAUX
34,,"henriM","Grote M.","Binding of antibodies against birch pollen antigens/allergens to various parts of apples as studied by immuno-gold electron microscopy","Immunobiology",,1988,"176",,,"290","300","The clinically and biochemically observed correlation between birch pollen allergy and hypersensitivity to apples was investigated by immunocytochemical techniques. For this purpose, apple tissue was fixed in p-formaldehyde and embedded in Lowicryl K4M re",FAUX
35,,"henriM","Saint-Remy JM. Lebecque SJ. Lebrun PM.","Human immune response to allergens of house dust mite, Dermatophagoides pteronyssinus. III. Cross-reactivity of bystander idiotopes on allergen-specific IgE antibodies","Eur J Immunol",,1988,"18",,,"77","81","Rabbits were inoculated with affinity-purified human antibodies to the common house dust mite Dermatophagoides pteronyssinus (DPT) to produce anti-idiotypic (Id) antibodies. The Id carried by human IgE antibodies were studied in a radioimmunoassay in whic",FAUX
36,,"henriM","Johansson E. van Hage-Hamsten M. Johansson SG.","Demonstration of allergen components in the storage mite Lepidoglyphus destructor by an immunoblotting technique","Int Arch Allergy Appl Immunol",,1988,"85",,,"8","13","The allergen composition of crude extracts of the storage mite Lepidoglyphus destructor were investigated by sodium dodecylsulphate polyacrylamide gel electrophoresis and immunoblotting. The allergen components were detected by sera from allergic farmers ",FAUX
37,,"henriM","Santamarina MT. Leiro J. Alvarez F. Sanmartin Duran ML. Ubeira FM.","Allergenic cross-reactivity of several strains of Trichinella in mice and rats by the passive cutaneous anaphylaxis technique","Int Arch Allergy Appl Immunol",,1988,"85",,,"123","126","The cross-reactivity of antiparasite IgE antibody responses induced by allergenic antigens obtained from Trichinella spiralis and Trichinella pseudospiralis was determined by the passive cutaneous anaphylaxis (PCA) technique in BCF1 mice infected with T. ",FAUX
38,,"henriM","Bock SA. Atkins FM. Sampson HA.","Allergenic cross-reactivity among legume foods","J Allergy Clin Immunol",,1988,"82",,,"310","312","pas d'abstract",FAUX
39,,"henriM","Anonymous.","Report on skin test standardization. The Committee on Skin Test Standardization of The Netherlands Society of Allergology","Clin Allergy",,1988,"18",,,"305","310","The decision to set up a Committee on Skin Test Standardization was taken in 1985 at the spring meeting of the Netherlands Society of Allergology.  The committee's terms of reference were to make recommendations about: (i) the standardization of skin-test",FAUX
40,,"henriM","Moller NE.","[Laboratory animals allergy]. [Danish]","Nord Med",,1990,"105",,,"52","53","A quarter of employees in an animal care unit will develop allergic reaction to animal dander, urine or blood. Exposure time before start of symptoms ranges from a half to two years. Initially the subjects suffer from rhinitis and conjunctivitis, later on",FAUX
41,,"henriM","Arlian LG. Vyszenski-Moher DL. Merski JA. Ritz HL. Nusair TL. Wilson ER.","Antigenic and allergenic characterization of the enzymes alcalase and savinase by crossed immunoelectrophoresis and crossed radioimmunoelectrophoresis","Int Arch Allergy Appl Immunol",,1990,"91",,,"278","284","Alcalase and savinase, produced by Bacillus species, are proteolytic enzymes that are used in laundry products and are known to cause respiratory allergy. Antigenic and allergenic characteristics of alcalase and savinase and their potential cross-reactivi",FAUX
42,,"henriM","Lockey RF.","The imported fire ant: immunopathologic significance","Hosp Pract",,1990,"25",,,"109","112","The imported fire ant is a major insect cause of generalized hypersensitivity in the southern United States. The alkaloids in the ant's unique venom also produce substantial morbidity due to local reactions, both toxin- and IgE-mediated. Immunotherapy--wi",FAUX
43,,"henriM","Hegyi E. Suchy V. Nagy M.","[Propolis allergy]. [German]","Hautarzt",,1990,"41",,,"675","679","The incidence of propolis contact sensitivity was 1.2-3.3% among 7483 hospital patients during the period 1981-1987, while the prevalence among 1,558 healthy volunteers was 0.64%. A group of 26 patients with contact allergy to propolis was challenged with",FAUX
44,,"henriM","Schou C. Lind P. Fernández-Caldas E. Lockey RF. Lowenstein H.","Identification and purification of an important cross-reactive allergen from American (Periplaneta americana) and German (Blattella germanica) cockroach","J Allergy Clin Immunol",,1990,"86",,,"935","946","Aqueous whole body extracts from two major domiciliary cockroaches, the American, Periplaneta americana, and the German, Blattella germanica, were analyzed in crossed immunoelectrophoresis and immunoblotting. Forty-five antigens were found in P. americana",FAUX
45,,"henriM","King TP.","Insect venom allergens","Monogr Allergy",,1990,"28",,,"84","100","[pas de résumé]",FAUX
46,,"henriM","Wüthrich B.","[Birch pollen allergy in relation with hypersensitivity for various kinds of fruit]. [German]","Hautarzt",,1990,"41",,,"583","584","pas d'abstract",FAUX
47,,"henriM","Su SN. Lau GX. Yang SY. Shen HD. Tsai JJ. Han SH.","Isolation and partial characterization of Bermuda grass-pollen allergen: BG-60b","Proc Natl Sci Counc Repub China B",,1990,"14",,,"85","90","Our earlier studies have shown that the pollen of Bermuda grass (Cynodon dactylon)-pollen contain at least 12 IgE-binding proteins which can be analyzed by the immunoblot technique. One of the highly active components was found to be a basic protein with ",FAUX
48,,"henriM","Greene WK. Chua KY. Stewart GA. Thomas WR.","Antigenic analysis of group I house dust mite allergens using random fragments of Der p I expressed by recombinant DNA libraries","Int Arch Allergy Appl Immunol",,1990,"92",,,"30","38","Antigenic regions of a major house dust mite allergen, Der p I, were identified by a recombinant DNA strategy employing the technique of random fragmentation. Fragments of cDNA coding for Der p I were produced by sonication and used to construct lambda gt",FAUX
49,,"henriM","van Hage-Hamsten M. Machado L. Barros MT. Johansson SG.","Comparison of clinical significance and allergenic cross-reactivity of storage mites Blomia kulagini and Lepidoglyphus destructor in Sweden and Brazil","Allergy",,1990,"45",,,"409","417","Comparison of the clinical significance and allergenic cross-reactivity of Blomia kulagini (B. kulagini) and Lepidoglyphus destructor (L. destructor) was made on sera from Sweden and Brazil using the radio-allergo-sorbent test (RAST) and the RAST inhibiti",VRAI
50,,"henriM","Helm RM. Squillace DL. Jones RT. Brenner RJ.","Shared allergenic activity in Asian (Blattella asahinai), German (Blattella germanica), American (Periplaneta americana), and Oriental (Blatta orientalis) cockroach species","Int Arch Allergy Appl Immunol",,1990,"92",,,"154","161","Whole-body extracts of the feral and peridomestic Asian cockroach (Blattella asahinai) and the three domestic cockroach species, German (Blattella germanica), American (Periplaneta americana), and Oriental (Blatta orientalis), were compared allergenically",FAUX
51,,"henriM","Ducombs G.","Diagnostic d'une dermite due aux plantes","Allerg Immunol (Paris)",,1990,"22",,,"280","283","Contact dermatitis from plants may occur by several mechanisms. It may arise as a result of simple irritation or by allergic mechanism; co-exposure to sunlight can evoke the phenomena of phototoxicity or photoallergy. Etiologic diagnosis require botanical",FAUX
52,,"henriM","de Zubiria A. Horner WE. Lehrer SB.","Evidence for cross-reactive allergens among basidiomycetes: immunoprint-inhibition studies","J Allergy Clin Immunol",,1990,"86",,,"26","33","Allergenic cross-reactivity among six basidiomycete species (Calvatia cyathiformis, Coprinus quadrifidus, Psilocybe cubensis, Pleurotus ostreatus, Ganoderma meredithae, and Pisolithus tinctorius) was determined by immunoprint inhibition. Extensive cross-r",VRAI
53,,"henriM","Schroeckenstein DC. Meier-Davis S. Bush RK.","Occupational sensitivity to Tenebrio molitor Linnaeus (yellow mealworm)","J Allergy Clin Immunol",,1990,"86",,,"182","188","Tenebrio molitor is an abundant stored-grain pest in the northern United States. We evaluated an individual with work-related symptoms of rhinoconjunctivitis on exposure to this insect. Prick skin tests with extracts prepared from the larval, pupal, and a",VRAI
54,,"henriM","Subiza J. Subiza JL. Alonso M. Hinojosa M. Garcia R. Jerez M. Subiza E.","Allergic conjunctivitis to chamomile tea","Ann Allergy",,1990,"65",,,"127","132","Eye washing with chamomile tea is a folk remedy used by the general public to treat conjunctivitis and other ocular reactions. Chamomile is also found in many cosmetic products. Some cases of contact dermatitis (but not reactions of type I) were reported ",FAUX
55,,"henriM","van Hage-Hamsten M. Machado L. Barros MT. Johansson SG.","Immune response to Blomia kulagini and Dermatophagoides pteronyssinus in Sweden and Brazil","Int Arch Allergy Appl Immunol",,1990,"91",,,"186","191","The immune responses to the non-pyroglyphid mite Blomia kulagini and the pyroglyphid mite Dermatophagoides pteronyssinus were compared in 440 Swedish farmers and 34 allergic subjects from Brazil using the radioallergosorbent test (RAST). Both B. kulagini ",FAUX
56,,"henriM","Rodrigo MJ. Morell F. Helm RM. Swanson M. Greife A. Anto JM. Sunyer J. Reed CE.","Identification and partial characterization of the soybean-dust allergens involved in the Barcelona asthma epidemic","J Allergy Clin Immunol",,1990,"85",,,"778","784","Asthma epidemics in Barcelona, Spain, have been attributed to dust generated by the unloading of soybeans in the harbor. Sera of four different groups of 10 subjects in each group were studied: (1) patients attending an emergency room in Barcelona for an ",FAUX
57,,"henriM","Roesyanto ID. van den Akker TW. van Joost TW.","Wood tars allergy, cross-sensitization and coal tar","Contact Dermatitis",,1990,"22",,,"95","98","In a population of 1883 patients tested for allergic contact dermatitis (1985-1988), a prevalence of 5.4% (103 cases) was seen for wood tars (ICDRG allergen, 12% pet.) sensitization. In this group (n = 103), retrospectively, a combined allergy was seen to",FAUX
58,,"henriM","Angrisano A. Di Berardino L. Fregoso A. Zatta G. Bagliani G. Compostella R.","Dermatophagoides and storage mites: statistical analysis of RAST results","Ann Allergy",,1990,"64",,,"358","361","R.I.A. dosages of specific IgE antibodies to Dermatophagoides pteronyssinus, Dermatophagoides farinae (house dust mites), Acarus siro, Lepidoglyphus destructor, and Tyrophagus putrescentiae (storage mites) in 467 unselected patients were statistically ana",FAUX
59,,"henriM","Dominguez J. Cuevas M. Urena V. Munoz T. Moneo I.","Purification and characterization of an allergen of mustard seed","Ann Allergy",,1990,"64",,,"352","357","A protein allergen has been isolated from mustard seed extracts by gel filtration. In RAST-inhibition experiments the allergen inhibited more than 60% of the binding of mustard-specific IgE from a pool of seven patients' sera. The allergenic activity was ",FAUX
60,,"henriM","Jarolim E. Matthiesen F. Skov PS. Tejkl M. Oesterballe O. Poulsen LK.","Hyposensitization therapy with whole pollen extract or purified allergens monitored by immunoblotting","Int Arch Allergy Appl Immunol",,1990,"92",,,"254","264","Patients allergic to grass pollen were hyposensitized with two major allergenic components or whole extract of timothy grass pollen. Specific IgE, IgG1, and IgG4 formed during immunotherapy were analyzed by immunoblotting. Similar antibody-binding pattern",FAUX
61,,"henriM","Mazur G. Baur X. Liebers V.","Hypersensitivity to hemoglobins of the Diptera family Chironomidae: structural and functional studies of their immunogenic/allergenic sites","Monogr Allergy",,1990,"28",,,"121","137","[pas de résumé]",FAUX
62,,"henriM","Enomoto A. Shon DH. Aoki Y. Yamauchi K. Kaminogawa S.","Antibodies raised against peptide fragments of bovine alpha s1-casein cross-react with the intact protein only when the peptides contain both B and T cell determinants","Mol Immunol",,1990,"27",,,"581","586","In order to compare the immune response to peptides with that to the native protein, we used bovine alpha s1-casein (alpha s1-CN), a major milk protein whose conformation seems to be in a highly disordered state in solution, as the model antigen. Firstly,",FAUX
63,,"henriM","de Groot H. van Swieten P. Aalberse RC.","Evidence for a Fel d I-like molecule in the ""big cats"" (Felidae species)","J Allergy Clin Immunol",,1990,"86",,,"107","116","In this study, we investigated the cross-reactivity pattern of IgE and IgG4 antibodies to the major feline allergen, Fel d I. We studied the IgE and IgG4 response of 11 cat-allergic patients against Fel d I-like structures in eight members of the Felidae ",FAUX
64,,"henriM","Lin ZW. Ekramoddoullah AK. Jaggi KS. Dzuba-Fischer J. Rector E. Kisil FT.","Mapping of epitopes on Poa p I and Lol p I allergens with monoclonal antibodies","Int Arch Allergy Appl Immunol",,1990,"91",,,"217","223","Allergen Poa p I isolated from the dialysed aqueous extract of Kentucky blue grass pollen by affinity chromatography with an anti-Lol p I murine monoclonal antibody (MAb) 290A-167 was previously shown to consist of a 35.8-kilodalton (kD) component with a ",FAUX
65,,"henriM","Esch RE. Klapper DG.","Isolation and characterization of a major cross-reactive grass group I allergenic determinant","Mol Immunol",,1989,"26",,,"557","561","A series of peptides has been isolated from the Group I (GpI) allergen from five species of grasses currently under study in this laboratory.  These peptides were generated by performing a limited tryptic digestion on each extensively reduced and alkylate",FAUX
66,,"henriM","Yamashita N. Ito K. Miyamoto T. Mano K. Shibuya T. Kamei K. Sasa M.","Allergenicity of Chironomidae in asthmatic patients","Ann Allergy",,1989,"63",,,"423","426","In order to clarify the relation between asthma and Chironomidae, we examined the cross-reactivity between Chironomidae and other common allergens. We noted significant correlations between positive skin tests with Chironomidae and with other allergens. T",FAUX
67,,"henriM","Koshte VL. Kagen SL. Aalberse RC.","Cross-reactivity of IgE antibodies to caddis fly with arthropoda and mollusca","J Allergy Clin Immunol",,1989,"84",,,"174","183","We investigated the possibility that subjects with IgE antibodies to an inhalant insect allergen, such as caddis fly, might also have antibodies to cross-reacting carbohydrate determinants (CCDs). IgE antibodies to cross-reacting allergens in caddis flies",VRAI
68,,"henriM","Fisher AA.","Management of hairdressers sensitized to hair dyes or permanent wave solutions","Cutis",,1989,"43",,,"316","318","Paraphenylendiamine and glyceryl monothioglycolate are among the most common sensitizers in hairdressers. Ordinary vinyl gloves can prevent paraphenylenediamine sensitization, but presently available gloves are either not protective against glyceryl monot",FAUX
69,,"henriM","Wheeler AW.","Hypersensitivity to the allergens of the pollen from the olive tree (Olea europaea) ","Clin Exp Allergy",,1992,"22",,,"1052","1057","pas d'abstract",VRAI
70,,"henriM","d'Amato G. Ruffilli A. Sacerdoti G. Bonini S.","Parietaria pollinosis: a review","Allergy",,1992,"47",,,"443","449","Species of the genus Parietaria (pellitory) are a prevalent cause of allergy in the Mediterranean area and the most important in some European regions such as southern Italy and coastal Spain (14, 26, 27, 29, 30, 31, 36, 59, 69). Up to now, however, Parie",VRAI
71,,"henriM","Horner WE. O'Neil CE. Lehrer SB.","Basidiospore aeroallergens","Clin Rev Allergy",,1992,"10",,,"191","211","[pas de résumé]",FAUX
72,,"henriM","Einarsson R. Aukrust L.","Allergens of the fungi imperfecti","Clin Rev Allergy",,1992,"10",,,"165","190","[pas de résumé]",FAUX
73,,"henriM","Kernerman SM. McCullough J. Green J. Ownby DR.","Evidence of cross-reactivity between olive, ash, privet, and Russian olive tree pollen allergens ","Ann Allergy",,1992,"69",,,"493","496","In a clinical investigation, 103 Michigan residents with symptoms suggestive of allergic rhinitis or asthma were skin tested with olive (Olea europaea) pollen extract. Nineteen had positive reactions. Since the olive tree is not native to nor grown in Mic",FAUX
74,,"henriM","Burge HA.","Allergen cross-reactivity","Ann Allergy",,1992,"69",,,"465","467",,FAUX
75,,"henriM","Ross BD. McCullough J. Ownby DR.","Partial cross-reactivity between latex and banana allergens","J Allergy Clin Immunol",,1992,"90",,,"409","410","pas d'abstract",FAUX
76,,"henriM","Sehon LZ. Mohapatra SS.","Induction of IgE antibodies in mice with recombinant grass pollen antigens ","Immunology",,1992,"76",,,"158","163","In this study, recombinant Poa pratensis (Poa p) IX allergens were examined for their in vivo allergenicity and antigenicity. Immunization of mice with a fusion protein (FP) comprising beta-galactosidase and recombinant KBG8.3 (rKBG8.3) allergen induced h",FAUX
