"id_item","nom_fr","nom_en","chaine_alpha_fr","chaine_alpha_en","autre_nom_fr","autre_nom_en","nom_court_fr","nom_court_en","nom_complet_fr","nom_complet_en","representatif_fr","representatif_en","fonction_classification_fr","fonction_classification_en","latin"
344,,"Rabbit (epithelia)",,"rabbit Oryctolagus",,,,"Rabbit (dander)",,,,,," ",
345,,"Sheep (epithelia)",,"sheep Ovis",,,,"Sheep (dander)",,,,,," ",
348,,"Mouse (epithelia)",,"mouse Mus",,,,"Mouse (dander)",,,,,," ",
349,,"Mink (epithelia)",,"Mustela vison",,,,"Mink (dander)",,,,,," ",
350,,"Rat (dander & droppings)",,"rat Rattus",,,,"Rat (dander & droppings)",,,,,," ",
351,,"Horse (serum)",,"horse Equus",,,,"Horse (serum)",,,,,," ",
352,,"Rabbit (serum)",,"rabbit Oryctolagus",,,,"Rabbit (serum)",,,,,," ",
354,,"Mouse (serum)",,"mouse Mus",,,,"Mouse (serum)",,,,,," ",
355,,"Mouse (dander & droppings)",,"mouse Mus",,,,"Mouse (dander & droppings)",,,,,," ",
356,,"Horse (dander)",,"horse Equus",,,,"Horse (dander)",,,,,," ",
357,,"Cow (dander)",,"beef cow Bos",,,,"Cow / beef (dander)",,,,,," ",
358,,"Mouse (urine)",,"mouse Mus",,,,"Mouse (urine)",,,,,," ",
361,,"Bee / honeybee (venom)",,"Apis",,,,"Bee (venom)",,,,,," ",
372,,"Red imported fire ant",,"ant Solenopsis",,,,"Ant (S. invicta)",,,,,," ",
378,,"Culex mosquito (# spp)","Moustique Culex","Culex mosquito (# spp)",,,,"Culex mosquito (# spp)",,,,,," ",
382,,"Anisakis (larvae)",,"Anisakis",,,,"Anisakis (larvae)",,,,,," ",
384,,"Abachi Obeche Samba (wood dust)",,"abachi Triplochiton",,,,"Abachi / Samba (wood)",,,,,," ",
385,"Chironome  / Vers de vase (larves)","Chironomid / bloodworm (larvae)",,"chironomid Chironomus",,,,"Chironomus thummi (larv.)",,,,,," ",
388,,"Pigeon (droppings)",,"pigeon Columba",,,,"Pigeon (droppings)",,,,,," ",
389,,"Goose (feathers)",,"Goose Anser",,,,"Goose (feathers)",,,,,," ",
390,,"Duck (feathers)",,"Duck Anas",,,,"Duck (feathers)",,,,,," ",
391,,"Canary (feathers)",,"canary Serinus",,,,"Canary (feathers)",,,,,," ",
392,,"Turkey (feathers)",,"turkey Meleagris",,,,"Turkey (feathers)",,,,,," ",
393,,"Chicken (feathers)",,"Chicken Gallus",,,,"Chicken (feathers)",,,,,," ",
394,,"Chicken (serum)",,"Chicken Gallus",,,,"Chicken (serum)",,,,,," ",
400,,"Deer fly",,"Deer fly",,,,"Deer fly",,,,,," ",
401,,"Horse fly",,"Horse fly",,,,"Horse fly",,,,,," ",
402,,"Silkworm ",,"silk worm Bombyx",,,,"Silkworm ",,,,,," ",
403,,"Yellow mealworm",,"worm Tenebrio Beetle",,,,"Yellow mealworm",,,,,," ",
405,,"Weeping fig / Benjamin's fig /Ficus tree ",,"Ficus benjamina",,,,"Weeping fig / Benjamin's fig /Ficus tree",,,,,," ",
406,,"Hamster (epithelia) (# spp)",,"hamster",,,,"Hamster (dander) (# esp)",,,,,," ",
411,,"Deer (meat)",,"Cervus deer meat",,,,"Deer (meat)",,,,,," ",
412,,"Duck (egg white)",,"duck egg white Anas",,,,"Duck (egg white)",,,,,," ",
413,,"Turkey (egg white)",,"egg white turkey Meleagris",,,,"Turkey (egg white)",,,,,," ",
414,,"Gull (egg white)",,"egg white gull Larus",,,,"Gull (egg white)",,,,,," ",
415,,"Goose (egg white)",,"Anser goose egg white",,,,"Goose (egg white)",,,,,," ",
416,,"Herring (eggs)",,"Herring Clupea egg",,,,"Herring (eggs)",,,,,," ",
1109,,"Gliocladium viride ","Gliocladium","Gliocladium",,,,"Gliocladium viride ",,,,,," ",
1123,"Saccharopolyspora rectivirgula (Poumon du fermier: connu préc. sous Saccharopolyspora faeni)","Saccharopolyspora rectivirgula (Farmer's lung)",,,,,,"Saccharopolyspora faeni",,,,,," ",
1213,,"Chinkapin Oak","Chinquapin","Chinkapin Quercus",,,,"Chinkapin Oak",,,,,," ",
1216,,"Cherry birch (Betula lenta)","bouleau betula","Birch betula",,,,"Cherry birch",,,,,," ",
1218,,"Sessile Oak",,"Oak Quercus",,,,"Sessile Oak",,,,,," ",
1224,,"Japanese White Birch",,"birch Betula",,,,"Japanese white birch",,,,,," ",
1238,,"Alder",,"alder alder Alnus",,,,"Alder",,,,,," ",
1240,,"Downy birch / European white birch  ",,"birch Betula",,,,"Downy birch / European white birch ",,,,,," ",
1241,,"American Hop hornbeam (ostrya virginiana)","Charme Ostrya","Hornbeam Ostrya",,,,"American Hop hornbeam (ostrya virginiana)",,,,,," ",
1242,,"European hop hornbeam (Ostrya carpinifolia)",,"Ostrya hop hornbeam",,,,"European hop hornbeam",,,,,," ",
1247,,"English oak / Pedunculate oak",,"Oak Quercus",,,,"English oak / Pedunculate oak",,,,,," ",
1249,,"Beech / Beechwood",,"beech Fagus",,,,"Beech / Beechwood",,,,,," ",
1257,,"Ash",,"Ash Fraxinus",,,,"Ash",,,,,," ",
1258,"Frêne élevé ","European ash",,"Ash Fraxinus",,,"Frêne élevé","European ash",,,,,," ",
1264,,"Cypress Chamaecyparis (# spp)",,"Cypress Chamaecyparis",,,,"Cypress (# Chamaecyp. esp.)",,,,,," ",
1276,,"White cypress-pine",,"cypress Callitris",,,,"White cypress-pine",,,,,," ",
1278,,"Lawson cypress",,"cypress Chamaecyparis",,,,"Lawson cypress",,,,,," ",
1282,,"Common juniper","Genévrier","juniper Juniperus",,,,"Common juniper",,,,,," ",
1283,,"Prickly juniper",,"cade juniper Juniperus",,,,"Prickly juniper",,,,,," ",
1288,,"White cedar / thuja",,"cedar cedar Thuja",,,,"White Cedar",,,,,," ",
1289,"Thuya géant","Western red cedar",,"cedar cedar Thuja",,,"Thuya géant","Western Red Cedar",,,,,," ",
1290,,"Arbovitae / Thuja (# spp)",,"cedar Thuja",,,,"Arbovitae / Thuja (# spp)",,,,,," ",
1295,"Acacia longifolia / Mimosa chenille","Sydney wattle",,"Acacia Acacia",,,,"Acacia Sydney wattle",,,,,," ",
1316,,"Kekele / Cedar / Indian Elm",,"Kekele Holoptelea",,,,"Kekele / Cedar / Indian Elm",,,,,," ",
1348,"Sapin de Douglas / Pin d'Orégon","Douglas Fir / Oregon pine",,"fir Pseudotsuga",,,,"Douglas-Fir",,,,,," ",
1401,,"Brazilian pepper tree",,"pepper Schinus",,,,"Brazilian pepper tree",,,,,," ",
1428,,"Sweetgum tree",,"sweetgum sweetgum",,,,"Sweetgum tree",,,,,," ",
1452,,"Areca palm / Betel tree","palmier  Areca","Areca palm",,,,"Betel palm",,,,,," ",
1454,,"Palmyra palm / toddy palm / Sugar Palm","palmier Borassus","Borassus Palm",,,,"Palmyra palm",,,,,," ",
1455,,"Canary Island Date Palm",,"Phoenix palm",,,,"Canary Island Date Palm",,,,,," ",
1457,"Palmier de la reine","Queen palm",,"palm Syagrus",,,"Palmier de la reine","Queen palm",,,,,," ",
1458,,"Florida palm",,"Palm Roystonea",,,,"Florida palm",,,,,," ",
1459,"Palo Verde","Palo Verde",,"Paloverde Cercidium",,,,"Palo Verde",,,,,," ",
1460,,"Papaya tree",,"Carica papaya",,,,"Papaya tree",,,,,," ",
1464,,"Black poplar",,"Poplar Populus",,,,"Black poplar",,,,,," ",
1478,,"Scots pine",,"Pine Pinus",,,,"Scots pine",,,,,," ",
1479,"Pistachier (# esp)","Pistachio tree (# spp)",,"Pistachio Pistacia",,,,"Pistachio tree (# spp)",,,,,," ",
1480,"Pistachier de l'Atlas","Atlas mastic tree",,"Pistachio Pistacia",,,"Pistachier de l'Atlas","Atlas mastic tree",,,,,," ",
1486,"Podocarpe","Plum pine ",,"podocarpa Podocarpus",,,,"Plum pine / African Fern Pine",,,,,," ",
1487,"Poivrier rose, faux-poivrier","Brazilian Peppertree / Florida holly",,"pepper Schinus",,,,"Brazilian Peppertree",,,,,," ",
1491,"Tilleul à grandes feuilles (pollen)","Large-leafed linden pollen",,"linden Tilia",,,"Tilleul à grandes feuilles (T. platyphyllos)","Linden (T. platyphyllos)",,,,,," ",
1496,,"Black locust",,"Robinia acacia Robinia",,,"Robinier faux-acacia","Black locust",,,,,," ",
1501,"Saule blanc / Saule commun","White willow",,"Willow Salix",,,"Saule blanc","White willow",,,,,," ",
1502,,"Goat Willow / Great sallow",,"Willow Salix",,,,"Great Willow",,,,,," ",
1510,,"Sycamore / Sycamore maple",,"sycamore maple sycamore Acer",,,,"Sycamore / Sycamore maple",,,,,," ",
1515,"Vernis du Japon (faux) / Ailante","Tree-of-heaven / Ailanthus",,"varnish ailanthus",,,,"Tree-of-heaven / Ailanthus",,,,,," ",
1523,"Élyme faux-blé ","Alkali Rye / Beardless Wildrye / Creeping Wildrye / Squaw Grass",,"Rye Leymus",,,"Élyme faux-blé ","Alkali Rye / Beardless Wildrye / Creeping Wildrye / Squaw Grass",,,,,," ",
1528,,"Black bent / redtop / water bentgrass",,"bentgrass Agrostis",,,"Agrostide blanche","Black bent / redtop / water bentgrass",,,,,," ",
1529,"Alpiste","Canary grass",,"canary grass Phalaris",,,"Alpiste","Canary grass",,,,,," ",
1535,,"Crested Wheatgrass / Fairway crested wheatgrass",,"quackgrass Agropyron",,,"Chiendent à crête","Crested Wheatgrass / Fairway crested wheatgrass",,,,,," ",
1536,"Chiendent officinal / Chiendent rampant","Couchgrass / Twitch / Quitch grass",,"quackgrass Agropyron",,,"Chiendent officinal / Chiendent rampant","Couchgrass / Twitch / Quitch grass",,,,,," ",
1538,,"Meadow fescue",,"Fescue Festuca",,,"Fétuque des prés","Meadow fescue",,,,,," ",
1539,,"Red fescue",,"Fescue Festuca",,,"Fétuque rouge","Red fescue",,,,,," ",
1546,"Pâturin à tiges aplaties","Canada bluegrass (Poa compressa)",,"Bluegrass Poa",,,"Pâturin à tiges aplaties","Canadian bluegrass",,,,,," ",
1549,,"Italian ryegrass",,"darnel ryegrass Lolium",,,,"Italian ryegrass",,,,,," ",
1556,,"Blue grama",,"Boutelou Bouteloua",,,,"Blue grama",,,,,," ",
1558,,"Western Wheatgrass",,"wheatgrass Pascopyrum",,,,"Western Wheatgrass",,,,,," ",
1561,"herbe de sang japonaise, Baron Rouge, impérata cylindrique","Cogon grass / Japanese bloodgrass","alang Imperata","alang Imperata",,,,"Cogon grass / Japanese bloodgrass",,,,,," ",
1568,,"Sandburr / Buffelgrasses / Sand spur",,"Cenchrus",,,,"Sandburr / Buffelgrasses / Sand spur",,,,,," ",
1572,"Herbe des prés salés","Salt grass",,"Distichlis salt marshes",,,,"Salt grass",,,,,," ",
1574,,"Kikuyu grass",,"Kikuyu Pennisetum",,,,"Kikuyu grass",,,,,," ",
1577,,"Johnson grass ",,"Sorghum Sorghum",,,,"Johnson grass / millet grass pollen",,,,,," ",
1579,,"Barnyard millet / cockspur grass / Japanese Millet / ",,"cockspur Echinochloa",,,,"Barnyard millet / cockspur grass / Japanese Millet",,,,,," ",
1583,,"Millet grass /sorghum pollen (# spp)",,"Sorghum Sorghum",,,,"Millet grass /sorghum pollen (# spp)",,,,,," ",
1585,"Sorgho cultivé / Millet perle / Gros mil (pollen)","Common sorghum / broomcorn",,"sorghum, millet Sorghum",,,"Sorgho cultivé / Millet perle / Gros mil (pollen)","Cultivated sorghum (pollen)",,,,,," ",
1596,,"Common sagebrush / Basin Sagebrush / Black Sage / Blue Sage / Big Sagebrush",,"Artemisia Artemisia",,,,"Common sagebrush / Basin Sagebrush / Black Sage / ",,,,,," ",
1597,,"Ragweed",,"Ambrosia Ambrosia",,,,"Ragweed",,,,,," ",
1609,"Absinthe (pollen)","Absinth Wormwood / Common Wormwood (pollen)",,"Wormwood Artemisia",,,,"Absinth Wormwood / Common Wormwood (pollen)",,,,,," ",
1612,"Armoise douce","Sagebrush / Fringed Sagewort / Fringed Wormwood / Prairie Sagewort",,"Artemisia Artemisia",,,,"Sagebrush / Fringed Sagewort / Fringed Worm",,,,,," ",
1613,"Armoise de Louisiane","Western mugwort / Gray Sagewort / Louisiana Sagewort / Louisiana Wormwood / White Sage / White Sagebrush",,"Artemisia Artemisia",,,,"Western mugwortt / Gray Sagewort / White Sage",,,,,," ",
1656,"Bugle Petit Pin / Ive / Ivette  (# esp)","Rough marshelder / poverty weed (# spp)",,"iva",,,"Bugle Petit Pin / Ive / Ivette  (# esp)","Rough marshelder / poverty weed (# spp)",,,,,," ",
1665,"Grande Camomille / Pyrèthre doré / Pyrèthre mousse","American feverfew / Santa Maria feverfew",,"parthenium Parthenium",,,"Grande Camomille / Pyrèthre doré / Pyrèthre mousse","American feverfew / Santa Maria feverfew",,,,,," ",
1678,"Solidage / verge d'or (# esp)","Goldenrod (# spp)",,"goldenrod Solidago vergeolidago",,,,"Goldenrod (# esp)",,,,,," ",
1692,"Saponaire officinale / savonnaire / herbe à savon","Common Soapwort",,"Saponaria Saponaria",,,"Saponaire officinale / savonnaire / herbe à savon","Common Soapwort",,,,,," ",
1699,"Saladelle à Feuilles Sinuées / Statice Sinué","Statice / Statis / Wavyleaf Sealavender",,"statice Limonium",,,"Saladelle à Feuilles Sinuées / Statice Sinué","Statice / Statis / Wavyleaf Sealavender",,,,,," ",
1700,"Trèfle des prés / Trèfle violet","Red Clover",,"clover Trifolium",,,"Trèfle des prés / Trèfle violet","Red Clover",,,,,," ",
1715,,"White mustard (Sinapis alba)","Sinapis","Sinapis",,,,"White mustard (pollen)",,,,,," ",
1742,,"Saltbush - orache - orach (Atriplex spp.)","Atriplex","Atriplex",,,,"Saltbush / orach (#esp)",,,,,," ",
1852,"Pariétaire officinale ","Pellitory-of-the-wall /Lichwort",,,,,"Pariétaire officinale ","Pellitory-of-the-wall /Lichwort",,,,,," ",
1867,"Plantain de l'Inde / ispaghul / Psylium blond",,,,,,"Plantain de l'Inde / ispaghul / Psylium blond","Desert Indianwheat",,,,,," ",
1873,"Colza / Navette (pollen)","Turnip rape (pollen)",,"Rape Brassica",,,"Colza / Navette (pollen)","Turnip rape (pollen) B. rapa",,,,,," ",
1874,,,,,,,,"Paprika (pollen)",,,,,," ",
1875,,,,,,,,"Castor bean (pollen)",,,,,," ",
1876,,,,,,,,"Tomato (pollen)",,,,,," ",
1881,"Ramie / Ortie de Chine",,,,,,"Ramie / Ortie de Chine",,,,,,," ",
1887,"Roquette sauvage / Diplotaxis à feuilles étroites / Roquette jaune",,,,,,"Roquette sauvage / Diplotaxis à feuilles étroites / Roquette jaune",,,,,,," ",
1903,,"Annual seablite (Suaeda maritima)","Soude Suaeda","Seablite Suaeda",,,,"Annual seablite",,,,,," ",
1904,,"Saltwort  (# spp)",,,,,,"Saltwort (# spp)",,,,,," ",
1918,,"Viper's Bugloss / Blueweed",,,,,,"Viper's Bugloss / Blueweed",,,,,," ",
1919,"Zygophyllum / Fabagelle",,,,,,"Zygophyllum / Fabagelle",,,,,,," ",
1929,,"Donkey milk / Ass milk",,,,,,"Donkey milk / Ass milk",,,,,," ",
1935,"Amblyseius cucumeris / Acarien","Predatory Mite / Cali mite",,,,,"Amblyseius cucumeris / Acarien","Predatory Mite / Cali mite",,,,,," ",
1942,"Dermanyssus gallinae / Faux poux des volailles / Poux rouges des volailles "," Red mite / Poultry mite / Red poultry mite / roost mite and chicken mite",,,,,"Dermanyssus gallinae / Faux poux des volailles / Poux rouges des volailles ","Red mite / Poultry mite / chicken mite",,,,,," ",
1944,,,,,,,,"Scabies mite",,,,,," ",
1956,,"Common Quail (egg white)",,,,,,"Quail (egg) (white)",,,,,," ",
1957,,,,,,,,"Common Quail (egg) (yolk)",,,,,," ",
1958,,,,,,,,"Whole hen's (egg)",,,,,," ",
1959,,,,,,,,"Ostrich (egg)",,,,,," ",
1961,,,,,,,,"Seagull (eggs)",,,,,," ",
1969,,"Barracuda",,"Sphyraena barracuda",,,,"Barracuda",,,,,," ",
1977,,"White pomfret / Silver Pomfret (Pampus argenteus)","Aileron Pampus","Pomfret Pampus",,,,"White pomfret / Silver Pomfret",,,,,," ",
1979,,"Shads / River herrings (Alosa alosa)","Alose Alosa","Herring Alosa",,,,"Shads / River herrings ",,,,,," ",
1980,"Anchois commun / Enchois européen","Anchovy / European anchovy",,"anchovy Engraulis",,,"Anchois commun / Enchois européen","Anchovy / European anchovy",,,,,," ",
1993,,"Olive flounder / Bastard halibut / Japanese halibut",,"flounder Paralichthys",,,,"Japanese halibut",,,,,," ",
1994,,"Megrim (# spp)","Cardine Lepidorhombus","Megrim Lepidorhombus",,,,"Megrim (# spp)",,,,,," ",
2004,"Denté commun","Common dentex","dorade dente Dentex","dente bream Dentex",,,"Denté commun","Common dentex",,,,,," ",
2029,,"European eelpout",,,,,,"European eelpout",,,,,," ",
2030,,"Atlantic catfish/ Atlantic wolffish",,,,,,"Atlantic catfish/ Atlantic wolffish",,,,,," ",
2037,"Merlu commun / merlu européen","European hake",,,,,"Merlu commun / merlu européen","Hake / hake",,,,,," ",
2044,,"Char (# spp)",,,,,,"Char (# spp)",,,,,," ",
2048,,"Barramundi / Asian seabass",,,,,,"Barramundi / Asian seabass",,,,,," ",
2051,"Pilchard du Japon / Sardine du Japon",,,,,,"Pilchard du Japon / Sardine du Japon",,,,,,," ",
2053,,,,,,,,,,,,,," ",
2056,,"Catfish",,,,,,"Catfish",,,,,," ",
2058,,"Ocean perch (Golden Redfish, Rosefish, Redfish, Large Redfish - Sebastes marinus)","Rascasse Sebastets","Redfish Sebastes",,,,"Redfish",,,,,," ",
2077,,"Rockfish ",,"Rockfish Sebastes",,,,"Rockfish",,,,,," ",
2079,,"Buri / Yellowtail / Japanese Amberjack",,"amberjack Seriola",,,,"Buri / Yellowtail / Japanese Amberjack",,,,,," ",
2091,,"Tilapia",,"tilapia Oreochromis",,,,"Tilapia",,,,,," ",
